strategy,regime_type,regime_bucket,current_period_n,current_period_pf,current_period_expectancy_R,historical_reference_n,historical_reference_pf,historical_reference_expectancy_R,data_status,source_exp_id
CADJPY_ARB,volatility,LOW,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,60,1.147,0.0829,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-105
CADJPY_ARB,volatility,NORMAL,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,71,1.732,0.3172,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-105
CADJPY_ARB,volatility,HIGH,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,60,0.878,-0.0630,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-105
CADJPY_ARB,trend,LOW_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,64,1.417,0.2157,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-105
CADJPY_ARB,trend,NORMAL_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,64,1.793,0.3156,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-105
CADJPY_ARB,trend,HIGH_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,64,0.778,-0.1334,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-105
GBPJPY_AMR,volatility,LOW,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,160,1.922,0.2467,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-106
GBPJPY_AMR,volatility,NORMAL,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,138,1.252,0.0964,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-106
GBPJPY_AMR,volatility,HIGH,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,105,1.123,0.0497,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-106
GBPJPY_AMR,trend,LOW_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,134,1.640,0.1960,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-106
GBPJPY_AMR,trend,NORMAL_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,134,1.156,0.0562,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-106
GBPJPY_AMR,trend,HIGH_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,135,1.544,0.1793,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-106
EURJPY_AMR,volatility,LOW,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,319,1.164,0.0539,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-107
EURJPY_AMR,volatility,NORMAL,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,235,1.161,0.0559,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-107
EURJPY_AMR,volatility,HIGH,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,159,1.164,0.0575,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-107
EURJPY_AMR,trend,LOW_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,238,1.025,0.0107,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-107
EURJPY_AMR,trend,NORMAL_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,237,1.272,0.0853,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-107
EURJPY_AMR,trend,HIGH_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,238,1.212,0.0701,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-107
AUDJPY_AMR,volatility,LOW,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,279,1.329,0.0987,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-108
AUDJPY_AMR,volatility,NORMAL,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,214,1.253,0.0818,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-108
AUDJPY_AMR,volatility,HIGH,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,158,0.826,-0.0744,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-108
AUDJPY_AMR,trend,LOW_TREND,DATA_INSUFFICIENT,DATA_INSUFFICIENT,DATA_INSUFFICIENT,217,1.340,0.1023,NO_5ERS_TRADE_DATA_FOR_CURRENT_PERIOD,EXP-108
