trade_id,strategy,symbol,direction,signal_time,entry_time,exit_time,holding_time,entry_price,exit_price,stop_loss,take_profit,lots,risk_percent,initial_risk,profit,R,exit_reason,raw_exit_reason,spread,ATR,strategy_reason,demotion_status,r_source,match_method
578493052,AUDJPY_AMR,AUDJPY,BUY,2026-07-20T21:15:05+00:00,2026-07-20T21:15:05+00:00,2026-07-21T00:25:24+00:00,3.17,0.0,113.609,113.609,113.874,0.13,0.0025,12.5,-12.72,-1.02,SL,SL,9.8,13.4,z=-2.09 vs SMA20=113.75925  close=113.65300  reverting to mean,N/A (not a demoted strategy),journal,ticket
578493053,CADJPY_AMR,CADJPY,BUY,2026-07-20T21:15:05+00:00,2026-07-20T21:15:05+00:00,2026-07-21T07:00:05+00:00,9.75,0.0,115.405,115.145,115.665,0.07,0.0025,12.5,-2.24,-0.18,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,11.5,11.1,z=-3.32 vs SMA20=115.55575  close=115.34800  reverting to mean,N/A (not a demoted strategy),journal,ticket
578493733,EURJPY_AMR,EURJPY,BUY,2026-07-20T22:00:05+00:00,2026-07-20T22:00:05+00:00,2026-07-21T07:00:05+00:00,9.0,0.0,185.425,185.371,185.581,0.16,0.0025,12.46,-7.09,-0.57,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,8.9,13.3,z=-2.48 vs SMA20=185.46725  close=185.38300  reverting to mean,N/A (not a demoted strategy),journal,ticket
578605805,GBPJPY_ARB,GBPJPY,BUY,2026-07-21T05:00:05+00:00,2026-07-21T05:00:05+00:00,2026-07-21T15:11:06+00:00,10.18,0.0,218.032,218.036,218.978,0.13,0.005,24.88,-29.87,-1.2,SL,SL,2.5,15.9,close above Asian High (no H4 gate),PRE_DEMOTION,journal,ticket
579088315,AUDJPY_AMR,AUDJPY,SELL,2026-07-22T01:00:06+00:00,2026-07-22T01:00:06+00:00,2026-07-22T05:07:51+00:00,4.13,0.0,114.233,114.528,114.233,0.11,0.0025,12.36,7.96,0.64,TP,TP,1.2,10.8,z=+3.41 vs SMA20=114.21775  close=114.33600  reverting to mean,N/A (not a demoted strategy),journal,ticket
579594382,EURJPY_AMR,EURJPY,BUY,2026-07-22T21:15:05+00:00,2026-07-22T21:15:05+00:00,2026-07-23T05:30:00+00:00,8.25,0.0,186.229,186.017,186.229,0.16,0.0025,12.38,8.34,0.67,TP,TP,9.1,14.1,z=-2.26 vs SMA20=186.14190  close=186.05700  reverting to mean,N/A (not a demoted strategy),journal,ticket
579709124,CADJPY_ARB,CADJPY,BUY,2026-07-23T05:00:05+00:00,2026-07-23T05:00:05+00:00,2026-07-23T15:57:48+00:00,10.96,0.0,116.24,115.691,116.24,0.22,0.005,24.81,36.83,1.48,TP,TP,0.8,6.4,close above Asian High (no H4 gate),N/A (not a demoted strategy),journal,ticket
579709125,GBPJPY_ARB,GBPJPY,BUY,2026-07-23T05:00:05+00:00,2026-07-23T05:00:05+00:00,2026-07-23T18:22:43+00:00,13.38,0.0,217.978,217.981,218.755,0.16,0.005,24.8,-34.19,-1.38,SL,SL,2.5,12.2,close above Asian High (no H4 gate),PRE_DEMOTION,journal,ticket
580176229,AUDJPY_AMR,AUDJPY,SELL,2026-07-24T00:45:05+00:00,2026-07-24T00:45:05+00:00,2026-07-24T07:00:05+00:00,6.25,0.0,114.255,114.445,114.157,0.12,0.0025,12.4,1.25,0.1,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,1.2,12.3,z=+3.07 vs SMA20=114.15190  close=114.26700  reverting to mean,N/A (not a demoted strategy),journal,ticket
580176231,EURJPY_AMR,EURJPY,SELL,2026-07-24T00:45:05+00:00,2026-07-24T00:45:05+00:00,2026-07-24T05:48:47+00:00,5.06,0.0,186.413,186.63,186.413,0.16,0.0025,12.4,8.5,0.69,TP,TP,1.2,15.8,z=+2.12 vs SMA20=186.40705  close=186.49400  reverting to mean,N/A (not a demoted strategy),journal,ticket
580681757,GBPUSD_MONDAY,GBPUSD,BUY,2026-07-26T22:00:15+00:00,2026-07-26T22:00:15+00:00,2026-07-27T21:00:06+00:00,23.0,0.0,1.32908,1.3249,1.34197,0.01,0.0025,12.43,-5.3,-0.43,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,8.5,14.6,Monday drift long: ATR20d=76p  SL=1.25x  TP=1.0x,N/A (not a demoted strategy),journal,ticket
581248231,EURJPY_AMR,EURJPY,SELL,2026-07-28T00:15:05+00:00,2026-07-28T00:15:05+00:00,2026-07-28T06:31:40+00:00,6.28,0.0,186.312,186.311,186.168,0.24,0.0025,12.41,-12.75,-1.03,SL,SL,1.2,11.1,z=+2.84 vs SMA20=186.17395  close=186.23100  reverting to mean,N/A (not a demoted strategy),journal,ticket
581832143,EURJPY_AMR,EURJPY,BUY,2026-07-29T00:45:05+00:00,2026-07-29T00:45:05+00:00,2026-07-29T03:53:09+00:00,3.13,0.0,186.437,186.437,186.579,0.24,0.0025,12.38,-12.46,-1.01,SL,SL,1.2,12.2,z=-2.45 vs SMA20=186.56200  close=186.50500  reverting to mean,N/A (not a demoted strategy),journal,ticket
