trades,wins,losses,win_rate_pct,total_pnl,total_R,avg_R,median_R,expectancy_R,profit_factor,avg_win_usd,avg_loss_usd,payoff_ratio,max_losing_streak,current_losing_streak,max_winning_streak,max_drawdown_R,current_drawdown_R,largest_single_loss_usd,largest_single_win_usd,pct_SL,pct_TP,pct_scheduled_exit,avg_holding_hours,median_holding_hours,strategy,direction
3,0,3,0.0,-17.67,-1.46,-0.487,-0.52,-0.487,0.0,NOT_AVAILABLE,-5.89,NOT_AVAILABLE,3,3,0,-0.86,-0.86,-7.32,NOT_AVAILABLE,66.7,0.0,33.3,6.38,6.41,AUDJPY_AMR,BUY
2,0,2,0.0,-10.27,-0.85,-0.425,-0.425,-0.425,0.0,NOT_AVAILABLE,-5.14,NOT_AVAILABLE,2,2,0,-0.43,-0.43,-5.19,NOT_AVAILABLE,100.0,0.0,0.0,6.72,6.72,AUDJPY_AMR,SELL
2,1,1,50.0,-8.44,-0.7,-0.35,-0.35,-0.35,0.032,0.28,-8.72,0.03,1,0,1,0.0,0.0,-8.72,0.28,50.0,0.0,50.0,6.97,6.97,CADJPY_AMR,BUY
2,0,2,0.0,-8.97,-0.74,-0.37,-0.37,-0.37,0.0,NOT_AVAILABLE,-4.49,NOT_AVAILABLE,2,2,0,-0.52,-0.52,-6.29,NOT_AVAILABLE,50.0,0.0,50.0,7.7,7.7,CADJPY_AMR,SELL
1,0,1,0.0,-12.01,-0.5,-0.5,-0.5,-0.5,0.0,NOT_AVAILABLE,-12.01,NOT_AVAILABLE,1,1,0,0.0,0.0,-12.01,NOT_AVAILABLE,100.0,0.0,0.0,30.4,30.4,CADJPY_ARB,BUY
1,0,1,0.0,-15.72,-0.66,-0.66,-0.66,-0.66,0.0,NOT_AVAILABLE,-15.72,NOT_AVAILABLE,1,1,0,0.0,0.0,-15.72,NOT_AVAILABLE,100.0,0.0,0.0,14.2,14.2,CADJPY_ARB,SELL
2,1,1,50.0,-1.99,-0.16,-0.08,-0.08,-0.08,0.689,4.4,-6.39,0.69,1,0,1,0.0,0.0,-6.39,4.4,50.0,50.0,0.0,4.12,4.12,EURJPY_AMR,BUY
2,2,0,100.0,4.94,0.41,0.205,0.205,0.205,INF,2.47,NOT_AVAILABLE,NOT_AVAILABLE,0,0,2,0.0,0.0,NOT_AVAILABLE,4.02,0.0,50.0,50.0,4.14,4.14,EURJPY_AMR,SELL
2,2,0,100.0,10.53,0.87,0.435,0.435,0.435,INF,5.26,NOT_AVAILABLE,NOT_AVAILABLE,0,0,2,0.0,0.0,NOT_AVAILABLE,6.27,0.0,50.0,50.0,5.36,5.36,GBPJPY_AMR,BUY
2,1,1,50.0,-6.47,-0.53,-0.265,-0.265,-0.265,0.166,1.29,-7.76,0.17,1,0,1,0.0,0.0,-7.76,1.29,0.0,0.0,100.0,23.0,23.0,GBPUSD_MONDAY,BUY
