strategy,exit_reason,count,win_rate_pct,avg_R,avg_holding_hours
AUDJPY_AMR,SCHEDULED_STRATEGY_EXIT,1,0.0,-0.34,9.0
AUDJPY_AMR,SL,4,0.0,-0.492,5.89
CADJPY_AMR,SCHEDULED_STRATEGY_EXIT,2,50.0,-0.1,8.12
CADJPY_AMR,SL,2,0.0,-0.62,6.55
CADJPY_ARB,SL,2,0.0,-0.58,22.3
EURJPY_AMR,SCHEDULED_STRATEGY_EXIT,1,100.0,0.08,4.25
EURJPY_AMR,SL,1,0.0,-0.53,3.71
EURJPY_AMR,TP,2,100.0,0.35,4.28
GBPJPY_AMR,SCHEDULED_STRATEGY_EXIT,1,100.0,0.52,6.25
GBPJPY_AMR,TP,1,100.0,0.35,4.46
GBPUSD_MONDAY,SCHEDULED_STRATEGY_EXIT,2,50.0,-0.265,23.0
