trades,wins,losses,win_rate_pct,total_pnl,total_R,avg_R,median_R,expectancy_R,profit_factor,avg_win_usd,avg_loss_usd,payoff_ratio,max_losing_streak,current_losing_streak,max_winning_streak,max_drawdown_R,current_drawdown_R,largest_single_loss_usd,largest_single_win_usd,pct_SL,pct_TP,pct_scheduled_exit,avg_holding_hours,median_holding_hours,strategy,is_current_six,period
5,0,5,0.0,-27.94,-2.31,-0.462,-0.43,-0.462,0.0,NOT_AVAILABLE,-5.59,NOT_AVAILABLE,5,5,0,-1.71,-1.71,-7.32,NOT_AVAILABLE,80.0,0.0,20.0,6.51,6.71,AUDJPY_AMR,True,A
4,1,3,25.0,-17.41,-1.44,-0.36,-0.37,-0.36,0.016,0.28,-5.9,0.05,3,0,1,-0.74,-0.72,-8.72,0.28,50.0,0.0,50.0,7.34,7.08,CADJPY_AMR,True,A
1,0,1,0.0,-12.01,-0.5,-0.5,-0.5,-0.5,0.0,NOT_AVAILABLE,-12.01,NOT_AVAILABLE,1,1,0,0.0,0.0,-12.01,NOT_AVAILABLE,100.0,0.0,0.0,30.4,30.4,CADJPY_ARB,True,A
4,3,1,75.0,2.95,0.25,0.062,0.205,0.062,1.462,3.11,-6.39,0.49,1,0,2,-0.53,-0.08,-6.39,4.4,25.0,50.0,25.0,4.13,4.14,EURJPY_AMR,True,A
2,2,0,100.0,10.53,0.87,0.435,0.435,0.435,INF,5.26,NOT_AVAILABLE,NOT_AVAILABLE,0,0,2,0.0,0.0,NOT_AVAILABLE,6.27,0.0,50.0,50.0,5.36,5.36,GBPJPY_AMR,True,A
2,1,1,50.0,-6.47,-0.53,-0.265,-0.265,-0.265,0.166,1.29,-7.76,0.17,1,0,1,0.0,0.0,-7.76,1.29,0.0,0.0,100.0,23.0,23.0,GBPUSD_MONDAY,True,A
5,0,5,0.0,-27.94,-2.31,-0.462,-0.43,-0.462,0.0,NOT_AVAILABLE,-5.59,NOT_AVAILABLE,5,5,0,-1.71,-1.71,-7.32,NOT_AVAILABLE,80.0,0.0,20.0,6.51,6.71,AUDJPY_AMR,True,B
4,1,3,25.0,-17.41,-1.44,-0.36,-0.37,-0.36,0.016,0.28,-5.9,0.05,3,0,1,-0.74,-0.72,-8.72,0.28,50.0,0.0,50.0,7.34,7.08,CADJPY_AMR,True,B
2,0,2,0.0,-27.73,-1.16,-0.58,-0.58,-0.58,0.0,NOT_AVAILABLE,-13.86,NOT_AVAILABLE,2,2,0,-0.66,-0.66,-15.72,NOT_AVAILABLE,100.0,0.0,0.0,22.3,22.3,CADJPY_ARB,True,B
4,3,1,75.0,2.95,0.25,0.062,0.205,0.062,1.462,3.11,-6.39,0.49,1,0,2,-0.53,-0.08,-6.39,4.4,25.0,50.0,25.0,4.13,4.14,EURJPY_AMR,True,B
2,2,0,100.0,10.53,0.87,0.435,0.435,0.435,INF,5.26,NOT_AVAILABLE,NOT_AVAILABLE,0,0,2,0.0,0.0,NOT_AVAILABLE,6.27,0.0,50.0,50.0,5.36,5.36,GBPJPY_AMR,True,B
2,1,1,50.0,-6.47,-0.53,-0.265,-0.265,-0.265,0.166,1.29,-7.76,0.17,1,0,1,0.0,0.0,-7.76,1.29,0.0,0.0,100.0,23.0,23.0,GBPUSD_MONDAY,True,B
2,0,2,0.0,-11.42,-0.95,-0.475,-0.475,-0.475,0.0,NOT_AVAILABLE,-5.71,NOT_AVAILABLE,2,2,0,-0.52,-0.52,-6.23,NOT_AVAILABLE,100.0,0.0,0.0,5.22,5.22,AUDJPY_AMR,True,C
2,1,1,50.0,-6.01,-0.5,-0.25,-0.25,-0.25,0.045,0.28,-6.29,0.04,1,0,1,0.0,0.0,-6.29,0.28,50.0,0.0,50.0,7.08,7.08,CADJPY_AMR,True,C
2,0,2,0.0,-27.73,-1.16,-0.58,-0.58,-0.58,0.0,NOT_AVAILABLE,-13.86,NOT_AVAILABLE,2,2,0,-0.66,-0.66,-15.72,NOT_AVAILABLE,100.0,0.0,0.0,22.3,22.3,CADJPY_ARB,True,C
3,2,1,66.7,-1.07,-0.08,-0.027,0.08,-0.027,0.833,2.66,-6.39,0.42,1,0,2,0.0,0.0,-6.39,4.4,33.3,33.3,33.3,4.16,4.25,EURJPY_AMR,True,C
1,1,0,100.0,4.26,0.35,0.35,0.35,0.35,INF,4.26,NOT_AVAILABLE,NOT_AVAILABLE,0,0,1,0.0,0.0,NOT_AVAILABLE,4.26,0.0,100.0,0.0,4.46,4.46,GBPJPY_AMR,True,C
1,1,0,100.0,1.29,0.11,0.11,0.11,0.11,INF,1.29,NOT_AVAILABLE,NOT_AVAILABLE,0,0,1,0.0,0.0,NOT_AVAILABLE,1.29,0.0,0.0,100.0,23.0,23.0,GBPUSD_MONDAY,True,C
