archetype_id,weight,control_total_R,combined_total_R_mean,combined_total_R_std,control_daily_vol,combined_daily_vol_mean,control_max_dd,combined_max_dd_mean,combined_max_dd_std,control_dd_duration,combined_dd_duration_mean,control_max_streak,combined_max_streak_mean,control_worst_5pct_day,combined_worst_5pct_day_mean,control_worst_1pct_day,combined_worst_1pct_day_mean,n_reps,data_type
A_nonjpy_londonny_trend,0.5,194.11,203.902,7.864,1.9713,2.023,-29.07,-29.722,1.965,226,192.333,7,6.853,-3.436,-3.562,-4.962,-5.065,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
A_nonjpy_londonny_trend,1.0,194.11,213.7,15.728,1.9713,2.115,-29.07,-30.937,3.98,226,184.843,7,6.61,-3.436,-3.725,-4.962,-5.27,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
B_nonjpy_londonny_breakout,0.5,194.11,199.447,6.667,1.9713,2.012,-29.07,-30.357,1.795,226,201.77,7,6.9,-3.436,-3.531,-4.962,-5.075,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
B_nonjpy_londonny_breakout,1.0,194.11,204.789,13.335,1.9713,2.082,-29.07,-32.016,3.58,226,200.647,7,6.69,-3.436,-3.682,-4.962,-5.271,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
C_nonjpy_highvol_specialist,0.5,194.11,198.626,5.828,1.9713,1.987,-29.07,-29.473,1.459,226,200.47,7,6.923,-3.436,-3.472,-4.962,-4.974,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
C_nonjpy_highvol_specialist,1.0,194.11,203.146,11.656,1.9713,2.026,-29.07,-30.201,2.874,226,195.497,7,6.737,-3.436,-3.539,-4.962,-5.085,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
D_ny_session_stream,0.5,194.11,192.72,7.809,1.9713,2.034,-29.07,-32.625,2.719,226,215.427,7,6.857,-3.436,-3.612,-4.962,-5.133,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
D_ny_session_stream,1.0,194.11,191.335,15.618,1.9713,2.138,-29.07,-36.889,5.585,226,240.577,7,6.693,-3.436,-3.839,-4.962,-5.394,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
E_londonny_low_ddcorr,0.5,194.11,194.969,6.999,1.9713,2.015,-29.07,-30.969,2.109,226,208.877,7,6.87,-3.436,-3.546,-4.962,-5.069,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
E_londonny_low_ddcorr,1.0,194.11,195.834,13.998,1.9713,2.093,-29.07,-33.456,4.329,226,219.68,7,6.693,-3.436,-3.712,-4.962,-5.261,300,"SIMULATED (archetype, mean+-std of 300 independent draws) blended with OBSERVED (control)"
