candidate_id,perturbation,trades,win_rate_pct,pf,expectancy_R,total_R
H1_USDCAD_NY_ORB,-20%,312,48.7,0.951,-0.028,-8.65
H1_USDCAD_NY_ORB,baseline,306,41.2,0.89,-0.071,-21.72
H1_USDCAD_NY_ORB,+20%,296,34.8,0.824,-0.127,-37.54
H2_AUDUSD_NY_MOMENTUM,-20%,592,29.9,0.666,-0.274,-162.24
H2_AUDUSD_NY_MOMENTUM,baseline,532,28.9,0.639,-0.3,-159.58
H2_AUDUSD_NY_MOMENTUM,+20%,463,29.4,0.655,-0.285,-131.8
H3_USDCHF_OVERLAP_CONTINUATION,-20%,201,36.8,0.649,-0.243,-48.85
H3_USDCHF_OVERLAP_CONTINUATION,baseline,172,33.1,0.54,-0.342,-58.86
H3_USDCHF_OVERLAP_CONTINUATION,+20%,143,30.1,0.493,-0.393,-56.2
H4_USDCAD_MTF_TREND,-20%,64,31.2,0.836,-0.119,-7.6
H4_USDCAD_MTF_TREND,baseline,63,30.2,0.795,-0.151,-9.52
H4_USDCAD_MTF_TREND,+20%,61,29.5,0.771,-0.171,-10.41
H5_AUDUSD_ATR_VOL_EXPANSION,-20%,123,27.6,0.553,-0.395,-48.64
H5_AUDUSD_ATR_VOL_EXPANSION,baseline,123,26.0,0.653,-0.314,-38.64
H5_AUDUSD_ATR_VOL_EXPANSION,+20%,123,25.2,0.763,-0.217,-26.64
