candidate_id,regime,note,classification,trades,win_rate_pct,pf,expectancy_R,total_R
H1_USDCAD_NY_ORB,ALL,insufficient TRAIN+VAL for terciles,UNKNOWN,,,,,
H2_AUDUSD_NY_MOMENTUM,HIGH,,WEAK,118.0,28.8,0.692,-0.242,-28.57
H2_AUDUSD_NY_MOMENTUM,LOW,,,257.0,27.6,0.567,-0.378,-97.27
H2_AUDUSD_NY_MOMENTUM,NORMAL,,,157.0,31.2,0.729,-0.215,-33.74
H3_USDCHF_OVERLAP_CONTINUATION,HIGH,,WEAK,46.0,26.1,0.343,-0.496,-22.83
H3_USDCHF_OVERLAP_CONTINUATION,LOW,,,75.0,34.7,0.631,-0.285,-21.35
H3_USDCHF_OVERLAP_CONTINUATION,NORMAL,,,51.0,37.3,0.584,-0.288,-14.67
H4_USDCAD_MTF_TREND,HIGH,,UNKNOWN,7.0,14.3,0.314,-0.611,-4.27
H4_USDCAD_MTF_TREND,LOW,,,44.0,34.1,0.946,-0.038,-1.67
H4_USDCAD_MTF_TREND,NORMAL,,,12.0,25.0,0.621,-0.298,-3.57
H5_AUDUSD_ATR_VOL_EXPANSION,HIGH,,WEAK,27.0,29.6,0.856,-0.117,-3.16
H5_AUDUSD_ATR_VOL_EXPANSION,LOW,,,66.0,28.8,0.715,-0.256,-16.89
H5_AUDUSD_ATR_VOL_EXPANSION,NORMAL,,,30.0,16.7,0.382,-0.62,-18.59
