regime,instrument,trading_days,avg_daily_range_pct,daily_vol_pct,net_trend_pct,candidate_evidence_exists
A_2019_2020,USDCAD,519,0.613,0.43,-6.3,False
B_2021_2022,USDCAD,520,0.744,0.48,6.07,False
C_2023_2024TRAIN,USDCAD,434,0.542,0.347,-0.6,True
D_2024_2025VAL,USDCAD,172,0.613,0.381,2.28,True
E_2025_2026OOS,USDCAD,335,0.446,0.282,0.16,True
A_2019_2020,AUDUSD,519,0.944,0.617,10.37,False
B_2021_2022,AUDUSD,520,1.085,0.712,-11.05,False
C_2023_2024TRAIN,AUDUSD,434,0.962,0.605,-0.55,True
D_2024_2025VAL,AUDUSD,173,0.995,0.693,-5.72,True
E_2025_2026OOS,AUDUSD,335,0.842,0.507,11.03,True
A_2019_2020,USDCHF,519,0.624,0.407,-10.58,False
B_2021_2022,USDCHF,520,0.76,0.498,4.93,False
C_2023_2024TRAIN,USDCHF,434,0.751,0.471,-8.2,True
D_2024_2025VAL,USDCHF,172,0.808,0.601,-3.09,True
E_2025_2026OOS,USDCHF,335,0.74,0.474,-1.87,True
A_2019_2020,XAUUSD,517,1.42,0.983,47.41,False
B_2021_2022,XAUUSD,516,1.371,0.891,-6.16,False
C_2023_2024TRAIN,XAUUSD,430,1.295,0.87,36.09,True
D_2024_2025VAL,XAUUSD,170,1.467,1.059,31.56,True
E_2025_2026OOS,XAUUSD,334,2.306,1.612,35.15,True
A_2019_2020,GBPJPY,519,0.977,0.633,2.88,False
B_2021_2022,GBPJPY,520,0.948,0.635,13.31,False
C_2023_2024TRAIN,GBPJPY,434,0.91,0.59,21.86,True
D_2024_2025VAL,GBPJPY,171,1.062,0.652,-1.28,True
E_2025_2026OOS,GBPJPY,335,0.684,0.446,11.76,True
