strategy_1,strategy_2,full_period_corr,full_n,normal_day_corr,normal_n,stress_worst20pct_corr,stress_n,worst10pct_corr,worst10_n,worst5pct_corr,worst5_n,diversification_disappears
AUDJPY_AMR,CADJPY_AMR,0.259,534,-0.061,412,-0.235,122,-0.146,72,-0.065,39,False
AUDJPY_AMR,CADJPY_ARB,0.077,153,-0.084,112,-0.225,41,-0.181,24,-0.115,15,False
AUDJPY_AMR,EURJPY_AMR,0.248,603,-0.088,466,-0.143,137,-0.147,73,-0.027,38,False
AUDJPY_AMR,GBPJPY_AMR,0.319,378,-0.041,282,-0.052,96,-0.084,59,-0.047,37,False
AUDJPY_AMR,GBPUSD_MONDAY,0.082,139,-0.171,116,0.067,23,0.314,12,0.235,8,True
CADJPY_AMR,CADJPY_ARB,0.108,145,-0.059,107,-0.073,38,0.04,24,-0.069,15,False
CADJPY_AMR,EURJPY_AMR,0.337,562,0.009,432,-0.062,130,-0.134,73,0.186,38,False
CADJPY_AMR,GBPJPY_AMR,0.415,367,0.104,270,-0.133,97,-0.135,59,0.084,37,False
CADJPY_AMR,GBPUSD_MONDAY,0.231,128,0.112,104,0.007,24,0.103,12,-0.056,8,False
CADJPY_ARB,EURJPY_AMR,-0.022,180,-0.216,135,-0.284,45,-0.108,25,-0.161,14,False
CADJPY_ARB,GBPJPY_AMR,0.05,102,-0.055,72,-0.36,30,-0.246,20,-0.168,14,False
CADJPY_ARB,GBPUSD_MONDAY,0.029,36,-0.146,30,,6,,2,,2,False
EURJPY_AMR,GBPJPY_AMR,0.403,386,0.06,287,-0.113,99,-0.082,59,-0.032,36,False
EURJPY_AMR,GBPUSD_MONDAY,0.166,149,0.036,123,-0.303,26,-0.369,12,-0.301,8,False
GBPJPY_AMR,GBPUSD_MONDAY,0.181,107,-0.071,87,0.081,20,0.031,11,0.288,8,True
