strategy_removed,stress_bucket,actual_bucket_total_R,counterfactual_bucket_total_R_without_strategy,delta,label
AUDJPY_AMR,worst_20pct,-440.396,-336.194,104.203,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
AUDJPY_AMR,worst_10pct,-290.391,-222.966,67.424,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
AUDJPY_AMR,worst_5pct,-173.062,-132.228,40.834,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
CADJPY_AMR,worst_20pct,-440.396,-335.159,105.237,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
CADJPY_AMR,worst_10pct,-290.391,-215.749,74.641,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
CADJPY_AMR,worst_5pct,-173.062,-130.515,42.547,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
CADJPY_ARB,worst_20pct,-440.396,-418.843,21.553,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
CADJPY_ARB,worst_10pct,-290.391,-275.542,14.849,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
CADJPY_ARB,worst_5pct,-173.062,-162.933,10.129,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
EURJPY_AMR,worst_20pct,-440.396,-318.315,122.082,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
EURJPY_AMR,worst_10pct,-290.391,-221.028,69.363,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
EURJPY_AMR,worst_5pct,-173.062,-133.575,39.487,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
GBPJPY_AMR,worst_20pct,-440.396,-357.55,82.847,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
GBPJPY_AMR,worst_10pct,-290.391,-230.626,59.765,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
GBPJPY_AMR,worst_5pct,-173.062,-135.818,37.243,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
GBPUSD_MONDAY,worst_20pct,-440.396,-435.92,4.476,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
GBPUSD_MONDAY,worst_10pct,-290.391,-286.042,4.349,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
GBPUSD_MONDAY,worst_5pct,-173.062,-170.24,2.822,"COUNTERFACTUAL ATTRIBUTION -- descriptive only, not optimization"
