bucket,currency,n_days,trade_count_exposure,trade_count_exposure_pct,risk_weighted_R_exposure
worst_1pct,AUD,8,8,19.5,8.821
worst_1pct,CAD,8,15,36.6,15.985
worst_1pct,EUR,8,8,19.5,8.786
worst_1pct,GBP,8,10,24.4,10.464
worst_1pct,JPY,8,39,95.1,42.033
worst_1pct,USD,8,2,4.9,2.024
worst_5pct,AUD,39,39,22.2,41.985
worst_5pct,CAD,39,54,30.7,55.814
worst_5pct,EUR,39,38,21.6,40.74
worst_5pct,GBP,39,45,25.6,43.454
worst_5pct,JPY,39,168,95.5,177.322
worst_5pct,USD,39,8,4.5,4.672
worst_10pct,AUD,78,75,23.1,77.158
worst_10pct,CAD,78,101,31.1,104.242
worst_10pct,EUR,78,76,23.4,78.699
worst_10pct,GBP,78,73,22.5,70.679
worst_10pct,JPY,78,313,96.3,324.375
worst_10pct,USD,78,12,3.7,6.402
worst_20pct,AUD,155,141,23.4,138.039
worst_20pct,CAD,155,182,30.2,180.125
worst_20pct,EUR,155,150,24.9,149.984
worst_20pct,GBP,155,130,21.6,114.589
worst_20pct,JPY,155,576,95.5,573.073
worst_20pct,USD,155,27,4.5,9.663
normal,AUD,619,510,24.2,331.017
normal,CAD,619,609,28.9,466.104
normal,EUR,619,563,26.7,371.435
normal,GBP,619,427,20.2,279.8
normal,JPY,619,1982,94.0,1401.273
normal,USD,619,127,6.0,47.083
