date,total_pnl,total_R,n_trades,n_winning_trades,n_losing_trades,win_rate_pct,max_concurrent_positions,avg_concurrent_positions,jpy_trades,jpy_R,non_jpy_R,amr_R,arb_R,monday_R,long_R,short_R,asian_R,london_R,vol_state_mode,n_strategies_active,n_simultaneous_losing_strategies,n_simultaneous_winning_strategies
2023-08-01,574.76,2.2942,4,4,0,100.0,4,4,4,2.2942,0.0,2.2942,0.0,0.0,0.5469,1.7473,2.2942,0.0,LOW,4,0,4
2023-08-02,1484.31,4.1897,5,5,0,100.0,5,5,5,4.1897,0.0,2.4445,1.7452,0.0,1.8732,2.3165,2.4445,1.7452,NORMAL,5,0,5
2023-08-03,271.84,1.0819,2,2,0,100.0,3,3,2,1.0819,0.0,1.0819,0.0,0.0,0.5435,0.5385,1.0819,0.0,LOW,2,0,2
2023-08-04,160.74,0.6454,4,3,1,75.0,4,4,4,0.6454,0.0,0.6454,0.0,0.0,1.1524,-0.507,0.6454,0.0,NORMAL,4,1,3
2023-08-07,145.44,0.5774,1,1,0,100.0,1,1,1,0.5774,0.0,0.5774,0.0,0.0,0.5774,0.0,0.5774,0.0,NORMAL,1,0,1
2023-08-08,-337.22,-1.349,4,2,2,50.0,4,4,4,-1.349,0.0,-1.349,0.0,0.0,0.9483,-2.2973,-1.349,0.0,LOW,4,2,2
2023-08-09,431.23,1.7136,3,3,0,100.0,3,3,3,1.7136,0.0,1.7136,0.0,0.0,1.1064,0.6071,1.7136,0.0,NORMAL,3,0,3
2023-08-10,-21.75,-1.1732,3,1,2,33.3,3,3,3,-1.1732,0.0,-2.2565,1.0833,0.0,1.0833,-2.2565,-2.2565,1.0833,LOW,3,2,1
2023-08-11,140.07,0.5594,1,1,0,100.0,2,2,1,0.5594,0.0,0.5594,0.0,0.0,0.0,0.5594,0.5594,0.0,LOW,1,0,1
2023-08-14,383.14,1.5188,3,3,0,100.0,3,3,3,1.5188,0.0,1.5188,0.0,0.0,0.9554,0.5634,1.5188,0.0,LOW,3,0,3
2023-08-15,-181.63,-0.7324,2,1,1,50.0,2,2,2,-0.7324,0.0,-0.7324,0.0,0.0,-0.7324,0.0,-0.7324,0.0,LOW,2,1,1
2023-08-16,-274.99,0.0072,3,2,1,66.7,3,3,3,0.0072,0.0,1.0885,-1.0813,0.0,0.5912,-0.584,1.0885,-1.0813,LOW,3,1,2
2023-08-17,-703.95,-1.7253,3,1,2,33.3,3,3,3,-1.7253,0.0,-0.6536,-1.0717,0.0,-2.2325,0.5072,-0.6536,-1.0717,LOW,3,2,1
2023-08-18,277.95,1.1099,2,2,0,100.0,2,2,2,1.1099,0.0,1.1099,0.0,0.0,0.5825,0.5273,1.1099,0.0,NORMAL,2,0,2
2023-08-21,-132.05,-0.5154,2,1,1,50.0,2,2,2,-0.5154,0.0,-0.5154,0.0,0.0,0.0,-0.5154,-0.5154,0.0,NORMAL,2,1,1
2023-08-22,251.4,0.9955,2,2,0,100.0,2,2,2,0.9955,0.0,0.9955,0.0,0.0,0.0,0.9955,0.9955,0.0,LOW,2,0,2
2023-08-23,-42.14,-0.1584,3,2,1,66.7,3,3,3,-0.1584,0.0,-0.1584,0.0,0.0,-0.6145,0.4561,-0.1584,0.0,LOW,3,1,2
2023-08-24,182.15,0.6544,2,2,0,100.0,2,2,2,0.6544,0.0,0.5849,0.0694,0.0,0.6544,0.0,0.5849,0.0694,LOW,2,0,2
2023-08-25,145.82,0.5748,1,1,0,100.0,2,2,1,0.5748,0.0,0.5748,0.0,0.0,0.5748,0.0,0.5748,0.0,NORMAL,1,0,1
2023-08-28,99.13,0.4061,4,3,1,75.0,4,4,3,0.2686,0.1375,0.2686,0.0,0.1375,0.1375,0.2686,0.4061,0.0,NORMAL,4,1,3
2023-08-29,223.19,0.8793,2,2,0,100.0,3,3,2,0.8793,0.0,0.8793,0.0,0.0,0.8793,0.0,0.8793,0.0,LOW,2,0,2
2023-08-30,284.88,1.1314,2,2,0,100.0,2,2,2,1.1314,0.0,1.1314,0.0,0.0,0.0,1.1314,1.1314,0.0,LOW,2,0,2
2023-08-31,7.49,0.0326,3,2,1,66.7,3,3,3,0.0326,0.0,0.0326,0.0,0.0,0.0326,0.0,0.0326,0.0,NORMAL,3,1,2
2023-09-01,265.02,1.051,2,2,0,100.0,2,2,2,1.051,0.0,1.051,0.0,0.0,0.5185,0.5325,1.051,0.0,NORMAL,2,0,2
2023-09-04,1508.67,4.2307,6,6,0,100.0,6,6,5,3.891,0.3397,2.1155,1.7755,0.3397,4.2307,0.0,2.4552,1.7755,NORMAL,6,0,6
2023-09-05,564.27,2.2364,4,4,0,100.0,5,5,4,2.2364,0.0,2.2364,0.0,0.0,2.2364,0.0,2.2364,0.0,LOW,4,0,4
2023-09-06,84.93,1.3878,5,4,1,80.0,5,5,5,1.3878,0.0,2.4366,-1.0488,0.0,2.4366,-1.0488,2.4366,-1.0488,LOW,5,1,4
2023-09-07,283.02,1.1104,2,2,0,100.0,2,2,2,1.1104,0.0,1.1104,0.0,0.0,0.0,1.1104,1.1104,0.0,LOW,2,0,2
2023-09-08,531.29,2.0995,4,4,0,100.0,4,4,4,2.0995,0.0,2.0995,0.0,0.0,0.0,2.0995,2.0995,0.0,LOW,4,0,4
2023-09-11,781.6,3.0873,5,5,0,100.0,5,5,4,2.7185,0.3688,2.7185,0.0,0.3688,3.0873,0.0,3.0873,0.0,NORMAL,5,0,5
2023-09-12,114.58,0.4512,1,1,0,100.0,4,4,1,0.4512,0.0,0.4512,0.0,0.0,0.0,0.4512,0.4512,0.0,LOW,1,0,1
2023-09-13,-29.68,-0.1203,3,2,1,66.7,4,4,3,-0.1203,0.0,-0.1203,0.0,0.0,0.4899,-0.6103,-0.1203,0.0,LOW,3,1,2
2023-09-14,-436.83,-1.7206,3,1,2,33.3,4,4,3,-1.7206,0.0,-1.7206,0.0,0.0,-1.7206,0.0,-1.7206,0.0,LOW,3,2,1
