interaction,bucket,n_days,n_trades_matching,pct_of_bucket_trades,R_contribution
JPY+HIGH_VOL,normal,619,472,22.4,130.254
JPY+HIGH_VOL,worst_10pct,78,86,26.5,-83.829
JPY+HIGH_VOL,worst_5pct,39,64,36.4,-62.01
JPY+AMR,normal,619,1838,87.2,562.871
JPY+AMR,worst_10pct,78,287,88.3,-271.193
JPY+AMR,worst_5pct,39,153,86.9,-160.111
HIGH_VOL+AMR,normal,619,427,20.3,127.042
HIGH_VOL+AMR,worst_10pct,78,77,23.7,-76.159
HIGH_VOL+AMR,worst_5pct,39,56,31.8,-55.375
JPY+ASIAN,normal,619,1838,87.2,562.871
JPY+ASIAN,worst_10pct,78,287,88.3,-271.193
JPY+ASIAN,worst_5pct,39,153,86.9,-160.111
AMR+ASIAN,normal,619,1838,87.2,562.871
AMR+ASIAN,worst_10pct,78,287,88.3,-271.193
AMR+ASIAN,worst_5pct,39,153,86.9,-160.111
SELL+HIGH_VOL,normal,619,225,10.7,43.343
SELL+HIGH_VOL,worst_10pct,78,49,15.1,-48.007
SELL+HIGH_VOL,worst_5pct,39,35,19.9,-33.126
JPY+HIGH_VOL_AMR,normal,619,427,20.3,127.042
JPY+HIGH_VOL_AMR,worst_10pct,78,77,23.7,-76.159
JPY+HIGH_VOL_AMR,worst_5pct,39,56,31.8,-55.375
