date,n_strategies_losing,strategies,total_R,total_loss_R,instruments,directions,vol_state,jpy_R,session_mix,concurrent_positions
2024-08-05,6,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,-6.1947,-6.195,AUDJPY; CADJPY; EURJPY; GBPJPY; GBPUSD,BUY; SELL,HIGH,-5.1807,ASIAN; LONDON,6
2024-10-29,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-5.7746,-5.775,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,LOW,-5.7746,ASIAN; LONDON,5
2024-09-11,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-5.4723,-5.472,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,NORMAL,-5.4723,ASIAN; LONDON,5
2025-08-14,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-5.3889,-5.389,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,LOW,-5.3889,ASIAN; LONDON,5
2024-05-30,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-5.3744,-5.374,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,LOW,-5.3744,ASIAN; LONDON,6
2024-11-20,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-5.3587,-5.359,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,NORMAL,-5.3587,ASIAN; LONDON,5
2024-10-01,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-5.3029,-5.303,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,HIGH,-5.3029,ASIAN; LONDON,5
2025-05-12,5,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,-5.1898,-5.19,AUDJPY; CADJPY; EURJPY; GBPJPY; GBPUSD,BUY; SELL,HIGH,-4.1803,ASIAN,5
2024-03-11,5,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,-4.8776,-4.878,AUDJPY; CADJPY; EURJPY; GBPJPY; GBPUSD,BUY,NORMAL,-4.3902,ASIAN,5
2024-11-11,5,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,-4.6122,-4.612,AUDJPY; CADJPY; EURJPY; GBPJPY; GBPUSD,BUY; SELL,HIGH,-4.2301,ASIAN,5
2024-02-22,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.458,-4.458,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,LOW,-4.458,ASIAN,5
2026-03-11,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.4415,-4.442,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,LOW,-4.4415,ASIAN,4
2025-08-15,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.4031,-4.403,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,LOW,-4.4031,ASIAN,4
2025-01-09,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3911,-4.391,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,NORMAL,-4.3911,ASIAN,5
2024-11-26,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3838,-4.384,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,NORMAL,-4.3838,ASIAN,4
2025-01-24,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3757,-4.376,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,NORMAL,-4.3757,ASIAN,4
2024-03-20,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.368,-4.368,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,LOW,-4.368,ASIAN,5
2025-05-16,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3568,-4.357,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,NORMAL,-4.3568,ASIAN,5
2026-04-08,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3172,-4.317,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,NORMAL,-4.3172,ASIAN,4
2024-09-13,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3133,-4.313,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,HIGH,-4.3133,ASIAN,4
2025-12-23,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3099,-4.31,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,NORMAL,-4.3099,ASIAN,4
2024-05-16,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.3079,-4.308,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,NORMAL,-4.3079,ASIAN,4
2024-10-02,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.2707,-4.271,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,HIGH,-4.2707,ASIAN,4
2024-06-05,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.2628,-4.442,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,NORMAL,-4.2628,ASIAN; LONDON,5
2025-03-20,4,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR,-4.2575,-4.257,AUDJPY; CADJPY; EURJPY,BUY; SELL,HIGH,-4.2575,ASIAN; LONDON,4
2024-07-03,4,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; GBPJPY_AMR,-4.255,-4.255,AUDJPY; CADJPY; GBPJPY,BUY; SELL,NORMAL,-4.255,ASIAN; LONDON,4
2024-07-18,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.2386,-4.239,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,HIGH,-4.2386,ASIAN,4
2024-09-04,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.2194,-4.219,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,HIGH,-4.2194,ASIAN,5
2024-09-19,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.1302,-4.13,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,HIGH,-4.1302,ASIAN,4
2025-01-27,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.1051,-4.155,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,HIGH,-4.1555,ASIAN,5
2024-10-28,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.0841,-4.169,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,HIGH,-4.1689,ASIAN,5
2024-08-06,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-4.0812,-4.081,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,HIGH,-4.0812,ASIAN,5
2025-02-20,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-3.7958,-4.36,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY,NORMAL,-3.7958,ASIAN; LONDON,6
2024-07-30,4,CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-3.7495,-4.325,CADJPY; EURJPY; GBPJPY,BUY,LOW,-3.7495,ASIAN; LONDON,5
2025-01-06,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,-3.6857,-4.475,AUDJPY; CADJPY; EURJPY; GBPJPY,BUY; SELL,NORMAL,-4.4754,ASIAN; LONDON,6
2026-02-04,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-3.5125,-4.338,AUDJPY; CADJPY; EURJPY; GBPJPY,SELL,NORMAL,-3.5125,ASIAN; LONDON,5
2024-09-27,4,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR,-3.5044,-4.274,AUDJPY; CADJPY; EURJPY,BUY; SELL,NORMAL,-3.5044,ASIAN; LONDON,5
2023-12-04,4,AUDJPY_AMR; CADJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,-3.4983,-4.125,AUDJPY; CADJPY; GBPJPY; GBPUSD,BUY,HIGH,-2.6446,ASIAN,5
2024-03-15,3,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR,-3.4386,-3.439,AUDJPY; CADJPY; EURJPY,BUY; SELL,LOW,-3.4386,ASIAN,4
2025-07-28,4,AUDJPY_AMR; CADJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,-3.4352,-4.05,AUDJPY; CADJPY; GBPJPY; GBPUSD,BUY; SELL,LOW,-2.6774,ASIAN,5
2024-12-11,3,AUDJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-3.3726,-3.373,AUDJPY; EURJPY; GBPJPY,BUY,LOW,-3.3726,ASIAN,3
2025-10-23,3,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR,-3.3058,-3.306,AUDJPY; CADJPY; EURJPY,SELL,NORMAL,-3.3058,ASIAN,4
2025-06-12,3,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR,-3.295,-3.295,AUDJPY; CADJPY; EURJPY,BUY,NORMAL,-3.295,ASIAN,3
2025-07-30,3,CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,-3.2921,-3.292,CADJPY; EURJPY; GBPJPY,BUY,LOW,-3.2921,ASIAN,4
2026-01-30,3,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR,-3.2573,-3.257,AUDJPY; CADJPY; EURJPY,BUY; SELL,HIGH,-3.2573,ASIAN,4
