vol_state,concurrent_bucket,n_days,avg_daily_R,worst_daily_R,loss_prob_pct,avg_simultaneous_losses
LOW,0-1,13,0.4023,-1.1315,7.7,0.08
LOW,2,49,0.3212,-2.3947,34.7,0.43
LOW,3,62,0.4282,-3.3726,41.9,0.66
LOW,4,80,0.2927,-4.4031,38.8,1.1
LOW,5,46,0.6421,-5.3889,28.3,1.37
LOW,6+,8,-0.3149,-5.3744,50.0,2.0
NORMAL,0-1,6,0.5656,0.5137,0.0,0.0
NORMAL,2,27,0.2538,-2.178,37.0,0.52
NORMAL,3,51,0.2211,-3.2254,35.3,0.84
NORMAL,4,78,0.1153,-4.4415,42.3,1.28
NORMAL,5,87,0.5071,-5.7746,37.9,1.47
NORMAL,6+,9,1.3815,-3.7958,33.3,1.33
HIGH,0-1,14,0.2436,-1.0873,21.4,0.21
HIGH,2,21,0.3186,-2.0788,42.9,0.57
HIGH,3,41,0.2189,-3.295,31.7,0.95
HIGH,4,86,-0.2168,-4.3838,47.7,1.55
HIGH,5,82,0.1027,-5.4723,41.5,1.78
HIGH,6+,14,0.0172,-6.1947,57.1,2.43
