bucket,n_days,total_R,avg_daily_R,median_daily_R,win_day_pct,loss_day_pct,std_daily_R,worst_day_R,pctile5_daily_R,avg_concurrent_positions,avg_n_trades,avg_jpy_trade_pct
0-10%,77,39.434,0.5121,0.5546,67.5,32.5,1.4047,-3.1729,-2.231,3.1,2.94,99.7
10-20%,77,19.896,0.2584,0.5556,61.0,39.0,1.8408,-5.3744,-2.7489,3.58,3.26,98.0
20-30%,78,24.125,0.3093,0.5826,64.1,35.9,1.699,-5.3889,-3.2042,3.5,3.14,97.6
30-40%,77,34.199,0.4441,0.6184,64.9,35.1,1.8915,-5.7746,-3.2948,3.92,3.64,95.4
40-50%,78,20.563,0.2636,0.6284,62.8,37.2,1.9788,-4.4415,-3.1317,4.01,3.71,95.5
50-60%,77,26.048,0.3383,0.5731,58.4,41.6,2.1908,-4.8776,-3.7588,3.86,3.57,94.9
60-70%,77,31.915,0.4145,0.8989,68.8,31.2,2.1248,-5.4723,-3.3385,3.81,3.47,95.9
70-80%,78,18.663,0.2393,0.6084,60.3,39.7,2.0763,-5.3587,-4.1185,4.01,3.76,93.3
80-90%,77,-35.568,-0.4619,-0.1395,49.4,50.6,2.2545,-5.3029,-4.2424,4.17,3.97,91.0
90-100%,78,14.831,0.1901,0.5465,59.0,41.0,2.0638,-6.1947,-3.3809,3.83,3.59,93.5
