strategy,entry_time,r_multiple,prior_open_count,prior_jpy_open,prior_long_open,prior_short_open,prior_amr_open,prior_arb_open,prior_max_ccy_concentration,prior_n_factors,own_is_jpy,own_dir,own_mechanism,own_vol_pctile_atr
AUDJPY_AMR,2023-08-01 00:00:00+00:00,0.5468866101946809,0,0,0,0,0,0,0.0,0,True,BUY,AMR,0.2564938521317932
GBPJPY_AMR,2023-08-01 02:00:00+00:00,0.6415841584158474,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.1641876278254402
EURJPY_AMR,2023-08-01 02:00:00+00:00,0.5483405483405613,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.3056237965606533
CADJPY_AMR,2023-08-01 03:45:00+00:00,0.5573593073592563,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.3496799723793589
AUDJPY_AMR,2023-08-02 00:00:00+00:00,0.5505376344085644,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.3515595890775536
CADJPY_AMR,2023-08-02 00:00:00+00:00,0.5707257072569811,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.4747696066714472
GBPJPY_AMR,2023-08-02 00:30:00+00:00,0.7519582245430322,0,0,0,0,0,0,0.0,0,True,BUY,AMR,0.5014874233047358
EURJPY_AMR,2023-08-02 04:00:00+00:00,0.5712936732765701,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.6925038178075825
CADJPY_ARB,2023-08-02 08:00:00+00:00,1.7451923076922613,0,0,0,0,0,0,0.0,0,True,SELL,ARB,
AUDJPY_AMR,2023-08-03 00:00:00+00:00,0.5434782608695726,1,1,0,1,0,1,1.0,2,True,BUY,AMR,0.5382179166444883
EURJPY_AMR,2023-08-03 02:45:00+00:00,0.538461538461469,1,1,0,1,0,1,1.0,2,True,SELL,AMR,0.2618285638403824
AUDJPY_AMR,2023-08-04 00:00:00+00:00,0.5842462180490258,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.673311332304253
EURJPY_AMR,2023-08-04 00:00:00+00:00,0.568111646288854,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.4554544850939512
GBPJPY_AMR,2023-08-04 02:15:00+00:00,-1.0845260599514317,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.323448165953943
CADJPY_AMR,2023-08-04 03:15:00+00:00,0.577535243292492,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.423259766818049
