expansion_date,pre_open_count,pre_jpy_open,pre_long_open,pre_short_open,pre_amr_open,pre_max_ccy_concentration,subsequent_3day_R,subsequent_3day_worst_day_R
2023-08-07,0,0,0,0,0,0.0,0.942,-1.349
2023-09-11,5,4,5,0,4,0.8,3.418,-0.12
2023-10-02,1,0,1,0,0,1.0,0.654,-1.409
2023-10-04,0,0,0,0,0,0.0,4.269,0.278
2023-10-09,5,4,5,0,4,0.8,4.692,0.484
2023-10-16,2,1,2,0,1,0.5,1.012,-0.53
2023-11-01,1,1,1,0,0,1.0,-2.016,-2.631
2023-11-22,0,0,0,0,0,0.0,3.46,-0.001
2023-12-04,2,1,2,0,1,0.5,-2.213,-3.498
2023-12-08,0,0,0,0,0,0.0,1.913,1.913
2023-12-14,1,1,1,0,1,1.0,-2.885,-2.079
2023-12-21,1,1,1,0,1,1.0,1.346,0.306
2023-12-28,0,0,0,0,0,0.0,0.901,0.17
2024-01-04,0,0,0,0,0,0.0,0.992,-0.029
2024-01-08,3,2,3,0,2,0.667,-0.586,-1.324
2024-01-12,0,0,0,0,0,0.0,1.191,1.191
2024-01-22,1,0,1,0,0,1.0,-1.624,-1.801
2024-01-25,0,0,0,0,0,0.0,1.571,0.585
2024-02-01,0,0,0,0,0,0.0,0.324,-1.047
2024-03-21,0,0,0,0,0,0.0,0.627,-0.156
2024-04-11,0,0,0,0,0,0.0,-1.576,-2.748
2024-04-15,4,3,4,0,3,0.75,1.534,-0.756
2024-04-29,1,0,1,0,0,1.0,0.698,-1.379
2024-05-16,1,1,1,0,1,1.0,-3.18,-4.308
2024-06-04,0,0,0,0,0,0.0,-3.013,-4.263
2024-06-10,2,1,2,0,1,0.5,-3.15,-2.708
2024-06-17,1,0,1,0,0,1.0,3.528,-0.587
2024-07-12,0,0,0,0,0,0.0,0.928,0.928
2024-07-18,0,0,0,0,0,0.0,-7.04,-4.239
2024-07-25,1,1,0,1,0,1.0,-3.598,-2.647
2024-07-31,3,3,3,0,3,1.0,-2.027,-2.452
2024-08-19,1,0,1,0,0,1.0,4.465,-0.486
2024-08-22,1,1,0,1,0,1.0,4.153,1.794
2024-08-26,1,0,1,0,0,1.0,-0.686,-2.552
2024-08-29,1,1,1,0,1,1.0,4.281,1.836
2024-09-04,5,5,4,1,4,1.0,-1.93,-4.219
2024-09-18,0,0,0,0,0,0.0,-3.677,-4.13
2024-09-27,0,0,0,0,0,0.0,-3.504,-3.504
2024-10-28,5,4,1,4,4,0.8,-8.378,-5.775
2024-11-01,1,1,0,1,0,1.0,-2.16,-2.16
2024-11-06,0,0,0,0,0,0.0,2.996,0.073
2024-11-14,1,1,1,0,1,1.0,2.634,0.899
2024-11-18,1,0,1,0,0,1.0,-4.825,-5.359
2024-11-20,0,0,0,0,0,0.0,-5.288,-5.359
2024-12-02,3,2,3,0,2,0.667,-2.049,-1.017
2024-12-09,2,1,2,0,1,0.5,-2.403,-3.373
2024-12-12,1,1,1,0,1,1.0,3.184,0.699
2024-12-19,0,0,0,0,0,0.0,0.896,-0.006
2024-12-26,1,1,0,1,1,1.0,1.374,-1.011
2024-12-31,0,0,0,0,0,0.0,3.088,-0.431
2025-01-13,2,1,2,0,1,1.0,-1.51,-1.488
2025-01-20,1,0,1,0,0,1.0,1.653,-3.234
2025-01-27,5,4,5,0,4,0.8,0.441,-4.105
2025-01-30,1,1,0,1,0,1.0,-1.093,-2.631
2025-02-06,2,2,1,1,2,1.0,-1.247,-3.194
2025-02-13,1,1,1,0,1,1.0,2.107,-0.467
2025-02-21,1,1,0,1,0,1.0,0.95,0.95
2025-03-19,0,0,0,0,0,0.0,-2.783,-4.258
2025-03-27,1,1,1,0,0,1.0,5.11,2.498
2025-03-31,1,0,1,0,0,1.0,-2.08,-1.718
2025-04-22,0,0,0,0,0,0.0,1.416,-0.692
2025-04-28,3,2,3,0,2,0.667,3.306,1.392
2025-05-07,0,0,0,0,0,0.0,-6.177,-2.622
2025-05-15,1,1,1,0,1,1.0,-5.121,-4.357
2025-05-22,1,1,0,1,0,1.0,3.194,0.566
2025-05-26,4,3,4,0,3,0.75,4.853,1.157
2025-06-02,2,1,2,0,1,0.5,3.403,0.344
2025-06-06,3,3,3,0,3,1.0,2.682,2.682
2025-06-12,0,0,0,0,0,0.0,-6.152,-3.295
2025-06-16,2,1,2,0,1,0.5,5.458,1.166
2025-06-20,0,0,0,0,0,0.0,0.035,0.035
2025-06-30,2,1,2,0,1,1.0,-3.617,-2.785
2025-07-02,1,1,1,0,1,1.0,-1.134,-1.748
2025-07-08,1,1,1,0,0,1.0,1.508,-0.584
2025-07-14,5,4,5,0,4,0.8,2.844,0.618
2025-07-21,5,4,5,0,4,0.8,1.36,0.176
2025-08-01,0,0,0,0,0,0.0,2.311,2.311
2025-09-08,5,4,1,4,4,0.8,3.058,0.143
2025-10-06,5,4,1,4,4,0.8,-2.886,-1.935
2025-10-13,1,0,1,0,0,1.0,2.229,-2.187
2025-10-15,1,1,0,1,0,1.0,-1.76,-2.187
2025-10-20,2,1,2,0,1,0.5,4.06,-1.074
2025-10-30,1,1,1,0,0,1.0,3.399,1.034
2025-11-07,0,0,0,0,0,0.0,3.54,3.54
2025-11-17,2,1,2,0,1,1.0,2.78,0.569
2025-11-20,0,0,0,0,0,0.0,-0.888,-1.504
2025-12-11,0,0,0,0,0,0.0,-3.098,-2.57
2025-12-22,2,1,2,0,1,0.5,-4.505,-4.31
2025-12-24,0,0,0,0,0,0.0,-3.161,-2.686
2026-01-15,0,0,0,0,0,0.0,2.089,0.58
2026-01-22,2,2,2,0,1,1.0,-4.331,-2.735
2026-01-26,2,1,2,0,1,0.5,0.199,-2.158
2026-02-05,1,1,1,0,0,1.0,-0.95,-2.559
2026-02-19,1,1,1,0,1,1.0,0.585,-0.895
2026-02-27,0,0,0,0,0,0.0,0.616,0.616
2026-03-06,1,1,1,0,0,1.0,-0.481,-0.481
2026-03-13,0,0,0,0,0,0.0,1.106,1.106
2026-03-20,0,0,0,0,0,0.0,-3.199,-3.199
2026-04-01,0,0,0,0,0,0.0,3.552,0.586
2026-04-08,0,0,0,0,0,0.0,-4.096,-4.317
2026-04-13,5,4,5,0,4,0.8,2.2,-1.567
2026-04-20,3,2,3,0,2,0.667,1.634,1.634
2026-05-01,0,0,0,0,0,0.0,0.94,0.94
2026-05-11,5,4,5,0,4,0.8,5.996,1.077
2026-06-08,2,1,2,0,1,0.5,4.342,0.566
2026-07-31,0,0,0,0,0,0.0,1.917,1.917
