vol_state,position_count_bucket,n_days,mean_R,median_R,loss_prob_pct,worst_R
LOW,0-1,13,0.4023,0.5325,7.7,-1.1315
LOW,2,49,0.3212,0.7295,34.7,-2.3947
LOW,3,62,0.4282,0.6814,41.9,-3.3726
LOW,4,80,0.2927,0.4848,38.8,-4.4031
LOW,5,46,0.6421,1.171,28.3,-5.3889
LOW,6+,8,-0.3149,0.1254,50.0,-5.3744
NORMAL,0-1,6,0.5656,0.5748,0.0,0.5137
NORMAL,2,27,0.2538,0.5665,37.0,-2.178
NORMAL,3,51,0.2211,0.1604,35.3,-3.2254
NORMAL,4,78,0.1153,0.6005,42.3,-4.4415
NORMAL,5,87,0.5071,1.3658,37.9,-5.7746
NORMAL,6+,9,1.3815,1.7049,33.3,-3.7958
HIGH,0-1,14,0.2436,0.5858,21.4,-1.0873
HIGH,2,21,0.3186,0.6333,42.9,-2.0788
HIGH,3,41,0.2189,0.4932,31.7,-3.295
HIGH,4,86,-0.2168,0.265,47.7,-4.3838
HIGH,5,82,0.1027,0.8156,41.5,-5.4723
HIGH,6+,14,0.0172,-0.2082,57.1,-6.1947
