excluding_worst_n_days,control,total_R,max_dd_R
0,A_baseline,194.105,-29.068
0,B_high_vol_50pct,190.43,-20.231
0,C_high_vol_concurrency4,177.855,-30.366
0,D_transition_high_to_normal,213.675,-27.416
0,E_concurrency5_agnostic,193.449,-29.068
1,A_baseline,200.3,-29.023
1,B_high_vol_50pct,193.537,-20.231
1,C_high_vol_concurrency4,179.877,-30.366
1,D_transition_high_to_normal,219.87,-27.416
1,E_concurrency5_agnostic,199.644,-29.023
5,A_baseline,222.31,-23.327
5,B_high_vol_50pct,213.351,-16.955
5,C_high_vol_concurrency4,201.887,-24.894
5,D_transition_high_to_normal,236.105,-21.943
5,E_concurrency5_agnostic,221.654,-23.327
10,A_baseline,247.652,-18.024
10,B_high_vol_50pct,230.219,-14.956
10,C_high_vol_concurrency4,217.808,-19.591
10,D_transition_high_to_normal,261.446,-16.64
10,E_concurrency5_agnostic,246.995,-18.024
