control,stress_bucket,n_stress_days,stress_period_R
A_baseline,worst_1pct,8,-44.056
A_baseline,worst_5pct,39,-173.062
A_baseline,worst_10pct,78,-290.391
A_baseline,worst_20pct,155,-440.397
B_high_vol_50pct,worst_1pct,8,-32.423
B_high_vol_50pct,worst_5pct,39,-131.263
B_high_vol_50pct,worst_10pct,78,-236.43
B_high_vol_50pct,worst_20pct,155,-357.826
C_high_vol_concurrency4,worst_1pct,8,-34.694
C_high_vol_concurrency4,worst_5pct,39,-142.969
C_high_vol_concurrency4,worst_10pct,78,-260.298
C_high_vol_concurrency4,worst_20pct,155,-404.244
D_transition_high_to_normal,worst_1pct,8,-38.282
D_transition_high_to_normal,worst_5pct,39,-141.776
D_transition_high_to_normal,worst_10pct,78,-238.606
D_transition_high_to_normal,worst_20pct,155,-374.167
E_concurrency5_agnostic,worst_1pct,8,-44.056
E_concurrency5_agnostic,worst_5pct,39,-173.062
E_concurrency5_agnostic,worst_10pct,78,-290.391
E_concurrency5_agnostic,worst_20pct,155,-442.118
