control,strategy,symbol,direction,original_R,vol_state,prior_concurrency,session,classification
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.649696364695093,HIGH,4,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.6467403396870022,HIGH,4,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,SELL,0.5610692073574031,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,0.7816550348953328,HIGH,4,ASIAN,WINNER
B_high_vol_50pct,GBPUSD_MONDAY,GBPUSD,BUY,0.2940902745463016,HIGH,4,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.6041091689665807,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,SELL,-1.215053763440907,HIGH,1,ASIAN,LOSER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,-1.0569730863335374,HIGH,2,ASIAN,LOSER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.5998033431661691,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.603725112395676,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,-1.1212675198050612,HIGH,1,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,-1.0670606582943205,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.6326469710534339,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,SELL,-1.048141377209079,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,-1.102444097763975,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,-1.0270195754066815,HIGH,0,ASIAN,LOSER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,SELL,0.7554615926709042,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,-1.0855767126286069,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,GBPUSD_MONDAY,GBPUSD,BUY,-0.2596827738841753,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,0.7594742886308988,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.5946623679025737,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,-1.0355087414485633,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.4863500802936729,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.6250653287342196,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.6041091689665412,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.6318537859007671,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.5781512605041752,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,SELL,0.6053550640279933,HIGH,0,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.6130268199233643,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,SELL,0.6183228886899329,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.5892547660312267,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,CADJPY_ARB,CADJPY,BUY,0.8967741935483805,HIGH,0,LONDON,WINNER
B_high_vol_50pct,GBPUSD_MONDAY,GBPUSD,BUY,0.2697743615174803,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.6260834098093297,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,CADJPY_ARB,CADJPY,SELL,-1.0353356890459318,HIGH,2,LONDON,LOSER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.619834710743851,HIGH,0,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.4813805631243892,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.579322638146197,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,SELL,-1.113924050632936,HIGH,0,ASIAN,LOSER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.5781749972415395,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,SELL,0.5623439758243813,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.5771812080536878,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,CADJPY_ARB,CADJPY,BUY,-1.0377358490566015,HIGH,1,LONDON,LOSER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.5885747259088369,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.5945026412391511,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,0.7526091430251488,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,CADJPY_ARB,CADJPY,BUY,0.7983091787439585,HIGH,1,LONDON,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,SELL,-1.0517582487713997,HIGH,2,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,-1.04450648710789,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,0.6114932944201132,HIGH,4,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,SELL,-1.0419650909863132,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,-1.119638826185143,HIGH,1,ASIAN,LOSER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,-1.0324649298597297,HIGH,2,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,0.5787569878329936,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.6355025970057755,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,-1.1205483534496627,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,0.5661080074488131,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,SELL,0.7252336448598177,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,SELL,-1.0693138279345882,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,0.6084891659246195,HIGH,3,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.5601361078392574,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,SELL,0.594755339280839,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,-1.041237113402124,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,-1.076937817380443,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.6114649681528616,HIGH,4,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,-1.0486891385767578,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,-1.1075441412518718,HIGH,2,ASIAN,LOSER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.6128096105824434,HIGH,0,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,0.7264217177626918,HIGH,1,ASIAN,WINNER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,-1.1101859561477134,HIGH,1,ASIAN,LOSER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.6352904628766569,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,-1.0260510360450774,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,-1.034543222865153,HIGH,3,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,BUY,0.6244026760114892,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,-1.044751289302891,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,BUY,-1.0342801175318228,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,CADJPY_ARB,CADJPY,SELL,-1.008103727714747,HIGH,1,LONDON,LOSER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,SELL,-1.0136310528365806,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,CADJPY_AMR,CADJPY,SELL,-1.0194174757281524,HIGH,4,ASIAN,LOSER
B_high_vol_50pct,EURJPY_AMR,EURJPY,BUY,0.6486882133625971,HIGH,2,ASIAN,WINNER
B_high_vol_50pct,GBPJPY_AMR,GBPJPY,SELL,-1.0214387803716225,HIGH,0,ASIAN,LOSER
B_high_vol_50pct,AUDJPY_AMR,AUDJPY,BUY,0.6383360229513948,HIGH,4,ASIAN,WINNER
