strategy,period,note,trades,win_rate_pct,pf,expectancy_R,total_R
AUDJPY_AMR,A_2019_2020,UNKNOWN BY DATA ABSENCE,,,,,
AUDJPY_AMR,B_2021_2022,UNKNOWN BY DATA ABSENCE,,,,,
AUDJPY_AMR,C_2023_2024,,316.0,70.9,1.173,0.0565,17.85
AUDJPY_AMR,D_2025,,209.0,69.9,1.211,0.0692,14.46
AUDJPY_AMR,E_2026_YTD,,126.0,66.7,1.021,0.0079,0.99
CADJPY_AMR,A_2019_2020,UNKNOWN BY DATA ABSENCE,,,,,
CADJPY_AMR,B_2021_2022,UNKNOWN BY DATA ABSENCE,,,,,
CADJPY_AMR,C_2023_2024,,284.0,68.3,1.061,0.0215,6.11
CADJPY_AMR,D_2025,,201.0,65.7,1.004,0.0016,0.31
CADJPY_AMR,E_2026_YTD,,113.0,74.3,1.385,0.1095,12.38
EURJPY_AMR,A_2019_2020,UNKNOWN BY DATA ABSENCE,,,,,
EURJPY_AMR,B_2021_2022,UNKNOWN BY DATA ABSENCE,,,,,
EURJPY_AMR,C_2023_2024,,336.0,67.6,1.077,0.0273,9.19
EURJPY_AMR,D_2025,,232.0,69.0,1.195,0.0655,15.2
EURJPY_AMR,E_2026_YTD,,144.0,72.2,1.329,0.1003,14.44
GBPJPY_AMR,A_2019_2020,UNKNOWN BY DATA ABSENCE,,,,,
GBPJPY_AMR,B_2021_2022,UNKNOWN BY DATA ABSENCE,,,,,
GBPJPY_AMR,C_2023_2024,,193.0,62.7,1.141,0.0564,10.88
GBPJPY_AMR,D_2025,,139.0,69.8,1.649,0.2022,28.11
GBPJPY_AMR,E_2026_YTD,,71.0,74.6,1.986,0.2678,19.01
CADJPY_ARB,A_2019_2020,UNKNOWN BY DATA ABSENCE,,,,,
CADJPY_ARB,B_2021_2022,UNKNOWN BY DATA ABSENCE,,,,,
CADJPY_ARB,C_2023_2024,,89.0,44.9,1.11,0.0577,5.13
CADJPY_ARB,D_2025,,75.0,52.0,1.417,0.1875,14.06
CADJPY_ARB,E_2026_YTD,,28.0,53.6,1.452,0.2239,6.27
GBPUSD_MONDAY,A_2019_2020,UNKNOWN BY DATA ABSENCE,,,,,
GBPUSD_MONDAY,B_2021_2022,UNKNOWN BY DATA ABSENCE,,,,,
GBPUSD_MONDAY,C_2023_2024,,70.0,60.0,1.316,0.0437,3.06
GBPUSD_MONDAY,D_2025,,52.0,61.5,2.841,0.188,9.78
GBPUSD_MONDAY,E_2026_YTD,,32.0,71.9,3.206,0.2283,7.31
