pair,timeframe,bars,first,last,coverage
AUDJPY,M15,75254,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
AUDJPY,H1,18823,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
AUDJPY,H4,4714,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
CADJPY,M15,75261,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
CADJPY,H1,18825,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
CADJPY,H4,4715,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
EURJPY,M15,75260,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
EURJPY,H1,18825,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
EURJPY,H4,4715,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
GBPJPY,M15,75253,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
GBPJPY,H1,18822,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
GBPJPY,H4,4714,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
GBPUSD,M15,75257,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
GBPUSD,H1,18824,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
GBPUSD,H4,4715,2023-08-01 00:00:00+00:00,2026-08-13 00:00:00+00:00,EXACT REPRODUCTION (broker OHLC available)
