strategy,cost_multiplier,trades,win_rate_pct,pf,expectancy_R,total_R
AUDJPY_AMR,baseline,272,69.5,1.487,0.1285,34.94
AUDJPY_AMR,2x,272,69.1,1.278,0.0774,21.06
CADJPY_AMR,baseline,258,68.2,1.553,0.139,35.87
CADJPY_AMR,2x,258,67.4,1.289,0.0775,20.0
EURJPY_AMR,baseline,308,66.6,1.491,0.1256,38.67
EURJPY_AMR,2x,308,65.9,1.273,0.0744,22.92
GBPJPY_AMR,baseline,173,68.2,2.292,0.2722,47.08
GBPJPY_AMR,2x,173,67.6,2.077,0.2375,41.08
CADJPY_ARB,baseline,87,44.8,1.508,0.2831,24.63
CADJPY_ARB,2x,87,44.8,1.439,0.2522,21.94
GBPUSD_MONDAY,baseline,67,65.7,2.697,0.1847,12.37
GBPUSD_MONDAY,2x,67,64.2,2.567,0.1756,11.76
