strategy,parameter,perturbation,value,trades,win_rate_pct,pf,expectancy_R,total_R
AUDJPY_AMR,z_threshold,-20%,1.6,319,70.2,1.425,0.122,38.92
AUDJPY_AMR,z_threshold,baseline,2.0,272,69.5,1.487,0.1285,34.94
AUDJPY_AMR,z_threshold,+20%,2.4,201,69.7,1.638,0.1474,29.62
AUDJPY_AMR,sl_multiplier,-20%,1.2,272,65.1,1.357,0.122,33.19
AUDJPY_AMR,sl_multiplier,baseline,1.5,272,69.5,1.487,0.1285,34.94
AUDJPY_AMR,sl_multiplier,+20%,1.8,272,71.3,1.523,0.1154,31.39
CADJPY_AMR,z_threshold,-20%,1.6,311,71.7,1.645,0.1604,49.89
CADJPY_AMR,z_threshold,baseline,2.0,258,68.2,1.553,0.139,35.87
CADJPY_AMR,z_threshold,+20%,2.4,167,66.5,1.548,0.1255,20.97
CADJPY_AMR,sl_multiplier,-20%,1.2,258,65.5,1.493,0.1544,39.85
CADJPY_AMR,sl_multiplier,baseline,1.5,258,68.2,1.553,0.139,35.87
CADJPY_AMR,sl_multiplier,+20%,1.8,258,69.4,1.567,0.1187,30.62
EURJPY_AMR,z_threshold,-20%,1.6,326,71.8,1.63,0.1624,52.94
EURJPY_AMR,z_threshold,baseline,2.0,308,66.6,1.491,0.1256,38.67
EURJPY_AMR,z_threshold,+20%,2.4,245,63.7,1.458,0.1093,26.77
EURJPY_AMR,sl_multiplier,-20%,1.2,308,64.0,1.473,0.1468,45.2
EURJPY_AMR,sl_multiplier,baseline,1.5,308,66.6,1.491,0.1256,38.67
EURJPY_AMR,sl_multiplier,+20%,1.8,308,68.5,1.52,0.1119,34.48
GBPJPY_AMR,z_threshold,-20%,2.0,269,71.4,2.229,0.2846,76.57
GBPJPY_AMR,z_threshold,baseline,2.5,173,68.2,2.292,0.2722,47.08
GBPJPY_AMR,z_threshold,+20%,3.0,67,68.7,2.203,0.2563,17.17
GBPJPY_AMR,sl_multiplier,-20%,1.0,173,65.3,2.082,0.3003,51.96
GBPJPY_AMR,sl_multiplier,baseline,1.25,173,68.2,2.292,0.2722,47.08
GBPJPY_AMR,sl_multiplier,+20%,1.5,173,69.4,2.236,0.2238,38.72
CADJPY_ARB,tp_multiplier,-20%,1.6,87,51.7,1.613,0.3052,26.55
CADJPY_ARB,tp_multiplier,baseline,2.0,87,44.8,1.508,0.2831,24.63
CADJPY_ARB,tp_multiplier,+20%,2.4,87,39.1,1.337,0.2082,18.11
CADJPY_ARB,min_range_pips,-20%,8.0,87,44.8,1.508,0.2831,24.63
CADJPY_ARB,min_range_pips,baseline,10.0,87,44.8,1.508,0.2831,24.63
CADJPY_ARB,min_range_pips,+20%,12.0,87,44.8,1.508,0.2831,24.63
GBPUSD_MONDAY,sl_atr_mult,-20%,1.0,67,64.2,2.407,0.2131,14.28
GBPUSD_MONDAY,sl_atr_mult,baseline,1.25,67,65.7,2.697,0.1847,12.37
GBPUSD_MONDAY,sl_atr_mult,+20%,1.5,67,65.7,2.806,0.1574,10.55
GBPUSD_MONDAY,tp_atr_mult,-20%,0.8,67,65.7,2.442,0.1569,10.51
GBPUSD_MONDAY,tp_atr_mult,baseline,1.0,67,65.7,2.697,0.1847,12.37
GBPUSD_MONDAY,tp_atr_mult,+20%,1.2,67,65.7,2.791,0.1949,13.06
