scenario,total_R,max_dd,n_days
FULL_PORTFOLIO_BASELINE,193.57,-12.21,326
AUDJPY_AMR_z_threshold_-20%,196.87,-14.11,326
AUDJPY_AMR_z_threshold_+20%,188.26,-12.17,326
AUDJPY_AMR_sl_multiplier_-20%,191.83,-11.38,326
AUDJPY_AMR_sl_multiplier_+20%,190.02,-12.02,326
CADJPY_AMR_z_threshold_-20%,205.24,-10.78,326
CADJPY_AMR_z_threshold_+20%,178.67,-12.17,326
CADJPY_AMR_sl_multiplier_-20%,197.55,-13.58,326
CADJPY_AMR_sl_multiplier_+20%,188.33,-12.13,326
EURJPY_AMR_z_threshold_-20%,205.51,-15.91,326
EURJPY_AMR_z_threshold_+20%,181.67,-15.19,326
EURJPY_AMR_sl_multiplier_-20%,200.1,-13.03,326
EURJPY_AMR_sl_multiplier_+20%,189.38,-12.06,326
GBPJPY_AMR_z_threshold_-20%,221.61,-13.68,326
GBPJPY_AMR_z_threshold_+20%,163.66,-13.94,326
GBPJPY_AMR_sl_multiplier_-20%,198.45,-13.84,326
GBPJPY_AMR_sl_multiplier_+20%,185.21,-12.61,326
CADJPY_ARB_tp_multiplier_-20%,195.49,-13.01,326
CADJPY_ARB_tp_multiplier_+20%,187.05,-14.81,326
CADJPY_ARB_min_range_pips_-20%,193.57,-12.21,326
CADJPY_ARB_min_range_pips_+20%,193.57,-12.21,326
GBPUSD_MONDAY_sl_atr_mult_-20%,195.48,-12.67,326
GBPUSD_MONDAY_sl_atr_mult_+20%,191.74,-12.07,326
GBPUSD_MONDAY_tp_atr_mult_-20%,191.71,-12.21,326
GBPUSD_MONDAY_tp_atr_mult_+20%,194.26,-12.21,326
