strategy,period,trades,win_rate_pct,pf,expectancy_R,total_R
AUDJPY_AMR,C_2023_2024,315,67.9,1.327,0.097,30.57
AUDJPY_AMR,D_2025,215,69.3,1.491,0.1275,27.42
AUDJPY_AMR,E_2026_YTD,129,62.8,1.176,0.0552,7.12
CADJPY_AMR,C_2023_2024,291,64.9,1.23,0.0687,19.99
CADJPY_AMR,D_2025,212,65.1,1.398,0.1053,22.33
CADJPY_AMR,E_2026_YTD,117,71.8,1.732,0.1699,19.88
EURJPY_AMR,C_2023_2024,342,64.6,1.188,0.0581,19.86
EURJPY_AMR,D_2025,243,66.7,1.479,0.1228,29.83
EURJPY_AMR,E_2026_YTD,144,66.7,1.45,0.1194,17.2
GBPJPY_AMR,C_2023_2024,195,59.5,1.217,0.074,14.42
GBPJPY_AMR,D_2025,145,65.5,1.926,0.2219,32.17
GBPJPY_AMR,E_2026_YTD,72,70.8,2.303,0.284,20.45
CADJPY_ARB,C_2023_2024,108,40.7,1.203,0.1184,12.79
CADJPY_ARB,D_2025,83,44.6,1.548,0.3023,25.09
CADJPY_ARB,E_2026_YTD,32,40.6,1.223,0.1369,4.38
GBPUSD_MONDAY,C_2023_2024,69,55.1,1.242,0.0359,2.48
GBPUSD_MONDAY,D_2025,52,65.4,2.894,0.1984,10.32
GBPUSD_MONDAY,E_2026_YTD,32,68.8,3.723,0.2561,8.19
