strategy,vol_state,trades,win_rate_pct,pf,expectancy_R,total_R
AUDJPY_AMR,LOW,120,72.5,1.585,0.153,18.36
AUDJPY_AMR,NORMAL,80,73.8,1.874,0.1926,15.41
AUDJPY_AMR,HIGH,65,60.0,1.057,0.0179,1.16
CADJPY_AMR,LOW,98,78.6,2.554,0.2681,26.27
CADJPY_AMR,NORMAL,100,64.0,1.31,0.0944,9.44
CADJPY_AMR,HIGH,46,54.3,0.871,-0.0398,-1.83
EURJPY_AMR,LOW,155,67.7,1.422,0.1172,18.16
EURJPY_AMR,NORMAL,107,65.4,1.513,0.1301,13.92
EURJPY_AMR,HIGH,38,63.2,1.655,0.1212,4.61
GBPJPY_AMR,LOW,76,80.3,5.116,0.4823,36.66
GBPJPY_AMR,NORMAL,61,62.3,1.29,0.0924,5.64
GBPJPY_AMR,HIGH,29,48.3,1.357,0.0823,2.39
CADJPY_ARB,LOW,36,50.0,1.859,0.4464,16.07
CADJPY_ARB,NORMAL,30,40.0,1.232,0.1425,4.28
CADJPY_ARB,HIGH,12,33.3,0.812,-0.1134,-1.36
GBPUSD_MONDAY,LOW,8,37.5,0.736,-0.0398,-0.32
GBPUSD_MONDAY,NORMAL,29,75.9,3.785,0.2529,7.34
GBPUSD_MONDAY,HIGH,30,63.3,2.552,0.1786,5.36
