date,total_R,n_trades,n_entries,n_exits,max_concurrent,avg_concurrent,jpy_share_pct,amr_share_pct,arb_share_pct,monday_share_pct,long_share_pct,short_share_pct,asian_share_pct,london_share_pct,ny_share_pct,vol_level,n_strategies_active,active_strategies,n_simultaneous_jpy,n_simultaneous_amr,gbpjpy_amr_active,vol_pctile,vol_state,prev_vol_state,vol_transition
2023-08-01,2.2942,4,4,4,4,4,100.0,100.0,0.0,0.0,25.0,75.0,100.0,0.0,0.0,0.268996,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,4,4,1,31.782945736434108,LOW,,NONE_to_LOW
2023-08-02,4.1897,5,5,4,5,5,100.0,80.0,20.0,0.0,60.0,40.0,80.0,20.0,0.0,0.50508,5,AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,5,4,1,60.46511627906976,NORMAL,LOW,LOW_to_NORMAL
2023-08-03,1.0819,2,2,3,3,3,100.0,100.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.400023,2,AUDJPY_AMR; EURJPY_AMR,3,2,0,47.674418604651166,NORMAL,NORMAL,NORMAL_to_NORMAL
2023-08-04,0.6454,4,4,4,4,4,100.0,100.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.468868,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,4,4,1,55.81395348837209,NORMAL,NORMAL,NORMAL_to_NORMAL
2023-08-07,0.5774,1,1,1,1,1,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.568979,1,EURJPY_AMR,1,1,0,67.57105943152455,HIGH,NORMAL,NORMAL_to_HIGH
2023-08-08,-1.349,4,4,4,4,4,100.0,100.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.17379,4,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,4,4,1,17.441860465116278,LOW,HIGH,HIGH_to_LOW
2023-08-09,1.7136,3,3,3,3,3,100.0,100.0,0.0,0.0,66.7,33.3,100.0,0.0,0.0,0.468268,3,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR,3,3,0,55.68475452196382,NORMAL,LOW,LOW_to_NORMAL
2023-08-10,-1.1732,3,3,2,3,3,100.0,66.7,33.3,0.0,33.3,66.7,66.7,33.3,0.0,0.28928,3,CADJPY_AMR; CADJPY_ARB; EURJPY_AMR,3,2,0,33.97932816537468,NORMAL,NORMAL,NORMAL_to_NORMAL
2023-08-11,0.5594,1,1,2,2,2,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.254522,1,CADJPY_AMR,2,1,0,29.58656330749354,LOW,NORMAL,NORMAL_to_LOW
2023-08-14,1.5188,3,3,3,3,3,100.0,100.0,0.0,0.0,66.7,33.3,100.0,0.0,0.0,0.26721,3,AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR,3,3,0,31.266149870801037,LOW,LOW,LOW_to_LOW
2023-08-15,-0.7324,2,2,2,2,2,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.200088,2,AUDJPY_AMR; EURJPY_AMR,2,2,0,20.025839793281655,LOW,LOW,LOW_to_LOW
