stress_date,t1_date,t1_max_concurrent,t1_vol_state,t1_jpy_share,t1_amr_share,t1_long_share,t60min_exposure,t30min_exposure,t15min_exposure
2023-12-04,2023-12-01,3,NORMAL,100.0,66.7,100.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-02-22,2024-02-21,3,LOW,100.0,66.7,66.7,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-03-11,2024-03-08,4,NORMAL,100.0,100.0,100.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-03-15,2024-03-14,3,LOW,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-03-20,2024-03-19,5,LOW,100.0,75.0,50.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-05-16,2024-05-15,4,LOW,100.0,100.0,50.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-05-30,2024-05-29,3,LOW,100.0,66.7,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-06-05,2024-06-04,2,HIGH,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-07-03,2024-07-02,2,LOW,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-07-18,2024-07-17,4,LOW,100.0,100.0,50.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-07-30,2024-07-29,5,HIGH,80.0,80.0,60.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-08-05,2024-08-02,3,HIGH,100.0,100.0,100.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-08-06,2024-08-05,6,HIGH,83.3,66.7,83.3,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-09-04,2024-09-03,5,LOW,100.0,80.0,80.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-09-11,2024-09-10,2,HIGH,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-09-13,2024-09-12,4,HIGH,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-09-19,2024-09-18,2,HIGH,100.0,50.0,50.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-09-27,2024-09-26,2,NORMAL,100.0,100.0,50.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-10-01,2024-09-30,6,HIGH,83.3,66.7,33.3,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
