strategy_combination,n_days,mean_R,worst_R,stress_day_pct
AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR,184,-0.0904,-4.458,15.8
AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR,105,0.3061,-3.4386,9.5
AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,72,0.7116,-5.1898,12.5
AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR,65,0.017,-5.7746,23.1
AUDJPY_AMR; EURJPY_AMR,48,0.1256,-2.3947,0.0
AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR,33,0.3333,-4.2575,12.1
EURJPY_AMR,30,0.2925,-1.1315,0.0
CADJPY_AMR; EURJPY_AMR,29,0.2094,-2.1874,0.0
AUDJPY_AMR; CADJPY_AMR; EURJPY_AMR; GBPUSD_MONDAY,20,0.6219,-3.0186,5.0
AUDJPY_AMR; CADJPY_AMR; CADJPY_ARB; EURJPY_AMR; GBPJPY_AMR; GBPUSD_MONDAY,19,0.9327,-6.1947,10.5
AUDJPY_AMR; CADJPY_AMR,15,0.6507,-0.5839,0.0
AUDJPY_AMR; EURJPY_AMR; GBPJPY_AMR,15,0.0099,-3.3726,6.7
AUDJPY_AMR; CADJPY_ARB; EURJPY_AMR,15,-0.138,-3.2194,6.7
CADJPY_ARB; EURJPY_AMR,15,0.3536,-2.0736,0.0
AUDJPY_AMR,12,0.2713,-1.0873,0.0
