bucket,strategy,strategy_R,pct_of_bucket_total,n_trades
worst_1pct,AUDJPY_AMR,-8.821,20.0,8
worst_1pct,CADJPY_AMR,-8.75,19.9,8
worst_1pct,CADJPY_ARB,-7.234,16.4,7
worst_1pct,EURJPY_AMR,-8.786,19.9,8
worst_1pct,GBPJPY_AMR,-8.441,19.2,8
worst_1pct,GBPUSD_MONDAY,-2.024,4.6,2
worst_5pct,AUDJPY_AMR,-40.834,23.6,39
worst_5pct,CADJPY_AMR,-42.547,24.6,39
worst_5pct,CADJPY_ARB,-10.129,5.9,15
worst_5pct,EURJPY_AMR,-39.487,22.8,38
worst_5pct,GBPJPY_AMR,-37.243,21.5,37
worst_5pct,GBPUSD_MONDAY,-2.822,1.6,8
worst_10pct,AUDJPY_AMR,-67.424,23.2,75
worst_10pct,CADJPY_AMR,-74.641,25.7,75
worst_10pct,CADJPY_ARB,-14.849,5.1,26
worst_10pct,EURJPY_AMR,-69.363,23.9,76
worst_10pct,GBPJPY_AMR,-59.765,20.6,61
worst_10pct,GBPUSD_MONDAY,-4.349,1.5,12
