trade_id,strategy,entry_time,london_exit_classification,expected_exit_utc,expected_exit_method
578493052,AUDJPY_AMR,2026-07-20T21:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
578493053,CADJPY_AMR,2026-07-20T21:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
578493052,AUDJPY_AMR,2026-07-20T21:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
578493733,EURJPY_AMR,2026-07-20T22:00:05+00:00,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
578493053,CADJPY_AMR,2026-07-20T21:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
578493733,EURJPY_AMR,2026-07-20T22:00:05+00:00,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
579088315,AUDJPY_AMR,2026-07-22T01:00:06+00:00,LONDON_EXIT_EXPECTED,2026-07-22T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
579088315,AUDJPY_AMR,2026-07-22T01:00:06+00:00,LONDON_EXIT_EXPECTED,2026-07-22T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
579594382,EURJPY_AMR,2026-07-22T21:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-23T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
579594382,EURJPY_AMR,2026-07-22T21:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-23T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
579709124,CADJPY_ARB,2026-07-23T05:00:05+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
579709124,CADJPY_ARB,2026-07-23T05:00:05+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
580176229,AUDJPY_AMR,2026-07-24T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
580176231,EURJPY_AMR,2026-07-24T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
580176231,EURJPY_AMR,2026-07-24T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
580176229,AUDJPY_AMR,2026-07-24T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
581248231,EURJPY_AMR,2026-07-28T00:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-28T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
581248231,EURJPY_AMR,2026-07-28T00:15:05+00:00,LONDON_EXIT_EXPECTED,2026-07-28T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
581832143,EURJPY_AMR,2026-07-29T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-07-29T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
581832143,EURJPY_AMR,2026-07-29T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-07-29T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
581914043,CADJPY_ARB,2026-07-29T05:00:05+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
581914043,CADJPY_ARB,2026-07-29T05:00:05+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
583033055,AUDJPY_AMR,2026-07-30T23:45:06+00:00,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583033057,CADJPY_AMR,2026-07-30T23:45:06+00:00,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583033055,AUDJPY_AMR,2026-07-30T23:45:06+00:00,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
