trade_id,account,status,strategy,audit_strategy_family,symbol,direction,entry_time,entry_price,exit_time,exit_price,profit,R,raw_exit_reason,exit_reason,london_exit_classification,expected_exit_utc,expected_exit_method,deviation_minutes,event_classification,classification_note,audit_period
578493052,5ERS-<login>,OPEN,AUDJPY_AMR,AMR,AUDJPY,BUY,2026-07-20T21:15:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
578493053,5ERS-<login>,OPEN,CADJPY_AMR,AMR,CADJPY,BUY,2026-07-20T21:15:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
578493052,5ERS-<login>,CLOSED,AUDJPY_AMR,AMR,AUDJPY,BUY,2026-07-20T21:15:05+00:00,0.0,2026-07-21T00:25:24+00:00,113.609,-12.72,-1.02,SL,SL,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-394.6,H. POSITION_ALREADY_CLOSED,position hit SL 395 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
578493733,5ERS-<login>,OPEN,EURJPY_AMR,AMR,EURJPY,BUY,2026-07-20T22:00:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
578493053,5ERS-<login>,CLOSED,CADJPY_AMR,AMR,CADJPY,BUY,2026-07-20T21:15:05+00:00,0.0,2026-07-21T07:00:05+00:00,115.405,-2.24,-0.18,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
578493733,5ERS-<login>,CLOSED,EURJPY_AMR,AMR,EURJPY,BUY,2026-07-20T22:00:05+00:00,0.0,2026-07-21T07:00:05+00:00,185.425,-7.09,-0.57,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-07-21T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
578605805,5ERS-<login>,OPEN,GBPJPY_ARB,UNKNOWN,GBPJPY,BUY,2026-07-21T05:00:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPJPY_ARB"" not one of the 6 eligible live strategies",BASELINE
578605805,5ERS-<login>,CLOSED,GBPJPY_ARB,UNKNOWN,GBPJPY,BUY,2026-07-21T05:00:05+00:00,0.0,2026-07-21T15:11:06+00:00,218.032,-29.87,-1.2,SL,SL,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPJPY_ARB"" not one of the 6 eligible live strategies",BASELINE
579088315,5ERS-<login>,OPEN,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-07-22T01:00:06+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-22T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
579088315,5ERS-<login>,CLOSED,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-07-22T01:00:06+00:00,0.0,2026-07-22T05:07:51+00:00,114.233,7.96,0.64,TP,TP,LONDON_EXIT_EXPECTED,2026-07-22T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-112.2,H. POSITION_ALREADY_CLOSED,position hit TP 112 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
579594382,5ERS-<login>,OPEN,EURJPY_AMR,AMR,EURJPY,BUY,2026-07-22T21:15:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-23T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
579594382,5ERS-<login>,CLOSED,EURJPY_AMR,AMR,EURJPY,BUY,2026-07-22T21:15:05+00:00,0.0,2026-07-23T05:30:00+00:00,186.229,8.34,0.67,TP,TP,LONDON_EXIT_EXPECTED,2026-07-23T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-90.0,H. POSITION_ALREADY_CLOSED,position hit TP 90 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
579709124,5ERS-<login>,OPEN,CADJPY_ARB,ARB,CADJPY,BUY,2026-07-23T05:00:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design,NOT_AVAILABLE,N/A -- not applicable (ARB has no scheduled exit),"ARB exits via SL/TP/Friday-close only, by design",BASELINE
579709125,5ERS-<login>,OPEN,GBPJPY_ARB,UNKNOWN,GBPJPY,BUY,2026-07-23T05:00:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPJPY_ARB"" not one of the 6 eligible live strategies",BASELINE
579709124,5ERS-<login>,CLOSED,CADJPY_ARB,ARB,CADJPY,BUY,2026-07-23T05:00:05+00:00,0.0,2026-07-23T15:57:48+00:00,116.24,36.83,1.48,TP,TP,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design,NOT_AVAILABLE,N/A -- not applicable (ARB has no scheduled exit),"ARB exits via SL/TP/Friday-close only, by design",BASELINE
579709125,5ERS-<login>,CLOSED,GBPJPY_ARB,UNKNOWN,GBPJPY,BUY,2026-07-23T05:00:05+00:00,0.0,2026-07-23T18:22:43+00:00,217.978,-34.19,-1.38,SL,SL,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPJPY_ARB"" not one of the 6 eligible live strategies",BASELINE
580176229,5ERS-<login>,OPEN,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-07-24T00:45:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
580176231,5ERS-<login>,OPEN,EURJPY_AMR,AMR,EURJPY,SELL,2026-07-24T00:45:05+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",NOT_AVAILABLE,J. DATA_UNAVAILABLE,trade still OPEN in the export as of the export snapshot -- outcome not yet determined,BASELINE
580176231,5ERS-<login>,CLOSED,EURJPY_AMR,AMR,EURJPY,SELL,2026-07-24T00:45:05+00:00,0.0,2026-07-24T05:48:47+00:00,186.413,8.5,0.69,TP,TP,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",-71.2,H. POSITION_ALREADY_CLOSED,position hit TP 71 min before the scheduled exit -- scheduled exit correctly never fired on an already-closed position,BASELINE
580176229,5ERS-<login>,CLOSED,AUDJPY_AMR,AMR,AUDJPY,SELL,2026-07-24T00:45:05+00:00,0.0,2026-07-24T07:00:05+00:00,114.255,1.25,0.1,MANUAL/OTHER,SCHEDULED_STRATEGY_EXIT,LONDON_EXIT_EXPECTED,2026-07-24T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)",0.1,A. CORRECTLY_EXECUTED,"actual exit 0 min from scheduled time, within 30-min tolerance; export decode_exit_reason() label (SCHEDULED_STRATEGY_EXIT) independently corroborated by this audit's own timing check, not merely assumed",BASELINE
580681757,5ERS-<login>,OPEN,GBPUSD_MON,UNKNOWN,GBPUSD,BUY,2026-07-26T22:00:15+00:00,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,J. DATA_UNAVAILABLE,"strategy ""GBPUSD_MON"" not one of the 6 eligible live strategies",BASELINE
