strategy,instrument,direction,base_currency,quote_currency,currency_exposure,trade_count,risk_weight,historical_R,live_R,notes
GBPJPY_AMR,GBPJPY,BUY,GBP,JPY,long GBP / short JPY,263,0.0025,51.95,0.87,
GBPJPY_AMR,GBPJPY,SELL,GBP,JPY,long JPY / short GBP,140,0.0025,6.05,0.0,
EURJPY_AMR,EURJPY,BUY,EUR,JPY,long EUR / short JPY,423,0.0025,58.96,-1.07,
EURJPY_AMR,EURJPY,SELL,EUR,JPY,long JPY / short EUR,290,0.0025,-19.51,0.07,
AUDJPY_AMR,AUDJPY,BUY,AUD,JPY,long AUD / short JPY,412,0.0025,64.95,-2.48,
AUDJPY_AMR,AUDJPY,SELL,AUD,JPY,long JPY / short AUD,239,0.0025,-31.64,-0.64,
CADJPY_AMR,CADJPY,BUY,CAD,JPY,long CAD / short JPY,353,0.0025,43.09,-0.88,
CADJPY_AMR,CADJPY,SELL,CAD,JPY,long JPY / short CAD,246,0.0025,-25.35,-1.16,
CADJPY_ARB,CADJPY,BUY,CAD,JPY,long CAD / short JPY,111,0.005,20.19,0.98,
CADJPY_ARB,CADJPY,SELL,CAD,JPY,long JPY / short CAD,81,0.005,5.27,-1.82,
GBPUSD_MONDAY,GBPUSD,BUY,GBP,USD,long GBP / short USD,154,0.0025,20.14,-0.96,
