metric,value,source_exp_ids
total_portfolio_trades,3160,"EXP-092"
total_R,265.15,"EXP-092"
portfolio_expectancy_R,0.0839,"EXP-092"
portfolio_expectancy_usd_per_trade,27.24,"EXP-092"
portfolio_profit_factor,1.248,"EXP-092"
portfolio_win_rate_pct,64.5,"EXP-092"
max_drawdown_R,-38.08,"EXP-092"
max_drawdown_pct_of_capital,-10.51,"EXP-092"
max_consecutive_losing_trades,14,"EXP-092"
max_consecutive_losing_days,7,"EXP-092"
max_consecutive_losing_sessions,9,"EXP-092"
n_drawdown_episodes,101,"EXP-092"
avg_drawdown_pct,0.88,"EXP-092"
median_drawdown_pct,0.51,"EXP-092"
n_drawdowns_gte_1pct,22,"EXP-092"
n_drawdowns_gte_2pct,10,"EXP-092"
n_drawdowns_gte_3pct,6,"EXP-092"
n_drawdowns_gte_4pct,3,"EXP-092"
n_drawdowns_gte_5pct,2,"EXP-093"
mc_drawdown_p50_pct,5.05,"EXP-093"
mc_drawdown_p75_pct,5.99,"EXP-093"
mc_drawdown_p90_pct,7.14,"EXP-093"
mc_drawdown_p95_pct,7.93,"EXP-093"
mc_drawdown_p99_pct,9.96,"EXP-093"
mc_streak_p50,7.0,"EXP-093"
mc_streak_p75,8.0,"EXP-093"
mc_streak_p90,9.0,"EXP-093"
mc_streak_p95,10.0,"EXP-093"
mc_streak_p99,11.0,"EXP-093"
historical_actual_drawdown_mc_percentile,99.4,"EXP-093"
historical_actual_streak_mc_percentile,100.0,"EXP-093"
prop_drawdown_low_pct,-3.4,input
prop_drawdown_high_pct,-3.8,input
prop_drawdown_low_mc_percentile,2.7,"EXP-094"
prop_drawdown_high_mc_percentile,9.3,"EXP-094"
prop_losing_streak_trades,9,input
prop_losing_streak_mc_percentile,93.9,"EXP-094"
pct_portfolio_trades_jpy,87.0,"EXP-095"
pct_portfolio_risk_jpy,88.4,"EXP-095"
freq_2plus_jpy_losing_same_day_pct,33.38,"EXP-095"
freq_3plus_jpy_losing_same_day_pct,16.17,"EXP-095"
worst_clustered_jpy_loss_usd,-2305.84,"EXP-095"
worst_clustered_jpy_loss_date,2024-10-29,"EXP-095"
worst_drawdown_episode_start,2024-09-04,"EXP-092"
worst_drawdown_episode_end,2024-12-12,"EXP-092"
worst_episode_pct_loss_ARB_combined,63.6,"EXP-092 (historical analog, not current prop period)"
final_classification,B. ELEVATED BUT WITHIN EXPECTED RANGE,"EXP-092,EXP-093,EXP-094,EXP-095"
