strategy_1,strategy_2,correlation_drawdown_days,correlation_normal_days,n_drawdown_days
GBPJPY_AMR,GBPUSD_MONDAY,-0.318,0.272,56
EURJPY_AMR,GBPJPY_AMR,0.557,0.373,75
EURJPY_AMR,GBPUSD_MONDAY,-0.237,0.207,73
AUDJPY_AMR,GBPJPY_AMR,0.448,0.284,72
AUDJPY_AMR,EURJPY_AMR,0.393,0.221,78
AUDJPY_AMR,CADJPY_AMR,0.323,0.242,76
AUDJPY_AMR,CADJPY_ARB,0.242,0.061,72
AUDJPY_AMR,GBPUSD_MONDAY,-0.03,0.093,72
CADJPY_AMR,GBPJPY_AMR,0.483,0.399,74
CADJPY_AMR,EURJPY_AMR,0.362,0.329,75
CADJPY_AMR,CADJPY_ARB,-0.033,0.113,73
CADJPY_AMR,GBPUSD_MONDAY,0.006,0.255,71
CADJPY_ARB,GBPJPY_AMR,-0.148,0.061,63
CADJPY_ARB,EURJPY_AMR,0.068,-0.044,74
CADJPY_ARB,GBPUSD_MONDAY,0.485,-0.055,31
