strategy,regime_type,regime_value,trades,win_rate_pct,pf,expectancy_R,total_R,max_streak
GBPJPY_AMR,volatility,HIGH,105,60.0,1.122,0.05,5.222,4
GBPJPY_AMR,volatility,LOW,160,74.4,1.881,0.247,39.474,4
GBPJPY_AMR,volatility,NORMAL,138,64.5,1.255,0.096,13.309,4
GBPJPY_AMR,trend,HIGH_TREND,135,68.1,1.546,0.179,24.211,4
GBPJPY_AMR,trend,LOW_TREND,134,70.9,1.624,0.196,26.259,4
GBPJPY_AMR,trend,NORMAL_TREND,134,62.7,1.141,0.056,7.535,4
EURJPY_AMR,volatility,HIGH,159,66.7,1.164,0.057,9.142,4
EURJPY_AMR,volatility,LOW,319,70.8,1.164,0.054,17.183,3
EURJPY_AMR,volatility,NORMAL,235,68.1,1.163,0.056,13.125,4
EURJPY_AMR,trend,HIGH_TREND,238,68.5,1.21,0.07,16.688,5
EURJPY_AMR,trend,LOW_TREND,238,67.2,1.029,0.011,2.541,4
EURJPY_AMR,trend,NORMAL_TREND,237,71.3,1.271,0.085,20.221,5
AUDJPY_AMR,volatility,HIGH,158,59.5,0.827,-0.074,-11.755,6
AUDJPY_AMR,volatility,LOW,279,74.6,1.338,0.099,27.548,4
AUDJPY_AMR,volatility,NORMAL,214,71.0,1.256,0.082,17.513,4
AUDJPY_AMR,trend,HIGH_TREND,217,68.7,1.173,0.059,12.727,5
AUDJPY_AMR,trend,LOW_TREND,217,73.7,1.346,0.102,22.189,3
AUDJPY_AMR,trend,NORMAL_TREND,217,66.8,0.98,-0.007,-1.61,4
CADJPY_AMR,volatility,HIGH,173,59.5,0.833,-0.071,-12.303,6
CADJPY_AMR,volatility,LOW,198,77.8,1.554,0.141,27.886,3
CADJPY_AMR,volatility,NORMAL,228,67.1,1.026,0.009,2.159,3
CADJPY_AMR,trend,HIGH_TREND,200,66.5,1.071,0.025,5.062,5
CADJPY_AMR,trend,LOW_TREND,200,72.5,1.244,0.076,15.102,4
CADJPY_AMR,trend,NORMAL_TREND,199,66.3,0.967,-0.012,-2.422,5
CADJPY_ARB,volatility,HIGH,60,43.3,0.875,-0.063,-3.778,7
CADJPY_ARB,volatility,LOW,60,45.0,1.145,0.083,4.973,7
CADJPY_ARB,volatility,NORMAL,71,56.3,1.761,0.317,22.523,4
CADJPY_ARB,trend,HIGH_TREND,64,37.5,0.774,-0.133,-8.536,8
CADJPY_ARB,trend,LOW_TREND,64,53.1,1.444,0.216,13.802,4
CADJPY_ARB,trend,NORMAL_TREND,64,56.2,1.792,0.316,20.197,4
GBPUSD_MONDAY,volatility,HIGH,69,58.0,1.616,0.095,6.558,3
GBPUSD_MONDAY,volatility,LOW,27,63.0,3.027,0.132,3.577,3
GBPUSD_MONDAY,volatility,NORMAL,58,69.0,2.699,0.172,10.003,3
GBPUSD_MONDAY,trend,HIGH_TREND,52,63.5,1.922,0.122,6.332,3
GBPUSD_MONDAY,trend,LOW_TREND,51,60.8,2.181,0.122,6.235,3
GBPUSD_MONDAY,trend,NORMAL_TREND,51,64.7,2.23,0.148,7.571,2
