view,strategy_1,strategy_2,correlation
daily_pearson,GBPJPY_AMR,GBPUSD_MONDAY,0.181
daily_pearson,EURJPY_AMR,GBPJPY_AMR,0.403
daily_pearson,EURJPY_AMR,GBPUSD_MONDAY,0.166
daily_pearson,AUDJPY_AMR,GBPJPY_AMR,0.319
daily_pearson,AUDJPY_AMR,EURJPY_AMR,0.248
daily_pearson,AUDJPY_AMR,CADJPY_AMR,0.259
daily_pearson,AUDJPY_AMR,CADJPY_ARB,0.077
daily_pearson,AUDJPY_AMR,GBPUSD_MONDAY,0.082
daily_pearson,CADJPY_AMR,GBPJPY_AMR,0.415
daily_pearson,CADJPY_AMR,EURJPY_AMR,0.337
daily_pearson,CADJPY_AMR,CADJPY_ARB,0.108
daily_pearson,CADJPY_AMR,GBPUSD_MONDAY,0.231
daily_pearson,CADJPY_ARB,GBPJPY_AMR,0.05
daily_pearson,CADJPY_ARB,EURJPY_AMR,-0.022
daily_pearson,CADJPY_ARB,GBPUSD_MONDAY,0.029
daily_spearman,GBPJPY_AMR,GBPUSD_MONDAY,0.197
daily_spearman,EURJPY_AMR,GBPJPY_AMR,0.491
daily_spearman,EURJPY_AMR,GBPUSD_MONDAY,0.165
daily_spearman,AUDJPY_AMR,GBPJPY_AMR,0.393
daily_spearman,AUDJPY_AMR,EURJPY_AMR,0.328
daily_spearman,AUDJPY_AMR,CADJPY_AMR,0.325
daily_spearman,AUDJPY_AMR,CADJPY_ARB,-0.025
daily_spearman,AUDJPY_AMR,GBPUSD_MONDAY,0.154
daily_spearman,CADJPY_AMR,GBPJPY_AMR,0.417
daily_spearman,CADJPY_AMR,EURJPY_AMR,0.384
daily_spearman,CADJPY_AMR,CADJPY_ARB,-0.011
daily_spearman,CADJPY_AMR,GBPUSD_MONDAY,0.266
daily_spearman,CADJPY_ARB,GBPJPY_AMR,-0.068
daily_spearman,CADJPY_ARB,EURJPY_AMR,-0.027
daily_spearman,CADJPY_ARB,GBPUSD_MONDAY,-0.18
weekly_pearson,GBPJPY_AMR,GBPUSD_MONDAY,0.165
weekly_pearson,EURJPY_AMR,GBPJPY_AMR,0.367
weekly_pearson,EURJPY_AMR,GBPUSD_MONDAY,0.127
weekly_pearson,AUDJPY_AMR,GBPJPY_AMR,0.237
weekly_pearson,AUDJPY_AMR,EURJPY_AMR,0.171
weekly_pearson,AUDJPY_AMR,CADJPY_AMR,0.11
weekly_pearson,AUDJPY_AMR,CADJPY_ARB,0.006
weekly_pearson,AUDJPY_AMR,GBPUSD_MONDAY,0.076
weekly_pearson,CADJPY_AMR,GBPJPY_AMR,0.356
weekly_pearson,CADJPY_AMR,EURJPY_AMR,0.341
weekly_pearson,CADJPY_AMR,CADJPY_ARB,0.029
weekly_pearson,CADJPY_AMR,GBPUSD_MONDAY,0.096
weekly_pearson,CADJPY_ARB,GBPJPY_AMR,-0.072
weekly_pearson,CADJPY_ARB,EURJPY_AMR,0.01
weekly_pearson,CADJPY_ARB,GBPUSD_MONDAY,-0.173
